analysis_sample,matrix_name,left_id,right_id,matching_similarity_pct,n_left,n_right,n_common,overlap_left_pct,overlap_right_pct,jaccard_pct,common_determinants
LATAM,matrix_32_ext_0_1,KM3,EFA4,13.333333333333334,15,8,2,13.333333333333334,25,9.523809523809524,det_21_rights_and_duties; det_27_fun
LATAM,matrix_32_ext_0_1,KM4,EFA5,50,12,8,6,50,75,42.857142857142854,det_01_profits; det_02_credit_score; det_10_cost_efficiency; det_13_technical_fit; det_15_self_satisfaction; det_16_commitment
LATAM,matrix_32_ext_0_1,KM5,EFA2,7.6923076923076925,13,8,1,7.6923076923076925,12.5,5,det_17_adherence
LATAM,matrix_32_ext_0_1,KM6,EFA3,55.55555555555556,9,8,5,55.55555555555556,62.5,41.666666666666664,det_01_profits; det_09_safety; det_15_self_satisfaction; det_18_autonomy; det_19_wellbeing
LATAM,matrix_32_z_abs,KM1,EFA1,58.333333333333336,12,8,7,58.333333333333336,87.5,53.84615384615385,det_09_safety; det_11_knowledge; det_12_own_competence; det_15_self_satisfaction; det_18_autonomy; det_19_wellbeing; det_20_coziness
LATAM,matrix_32_z_abs,KM2,EFA4,50,8,8,4,50,50,33.333333333333336,det_03_risk_profile; det_05_frugality; det_09_safety; det_17_adherence
LATAM,matrix_32_z_abs,KM3,EFA3,50,8,8,4,50,50,33.333333333333336,det_07_legal; det_10_cost_efficiency; det_13_technical_fit; det_15_self_satisfaction
LATAM,matrix_32_z_abs,KM4,EFA6,44.44444444444444,9,8,4,44.44444444444444,50,30.76923076923077,det_21_rights_and_duties; det_23_support; det_25_agreement; det_29_trends
LATAM,matrix_32_z_abs,KM5,EFA5,62.5,8,8,5,62.5,62.5,45.45454545454545,det_04_added_value; det_05_frugality; det_06_climate_protection; det_14_environmental_concerns; det_20_coziness
LATAM,matrix_32_z_abs,KM6,EFA2,26.666666666666668,15,8,4,26.666666666666668,50,21.05263157894737,det_24_socialising; det_25_agreement; det_29_trends; det_30_authority
DIEGO,matrix_32_raw_0_1,KM1,EFA1,44.44444444444444,9,8,4,44.44444444444444,50,30.76923076923077,det_01_profits; det_02_credit_score; det_05_frugality; det_28_recognition
