analysis_sample,determinant,n_pos_ge_MAX,n_ext_ge_threshold,mean_raw_0_100,sd_raw_0_100,prop_pos_ge_MAX,prop_ext_ge_threshold
RENOVISOR,det_17_adherence,812,477,73.63758389261743,17.173528980012605,0.9082774049217002,0.5335570469798657
RENOVISOR,det_18_autonomy,685,338,63.24049217002238,21.184289594540516,0.7662192393736018,0.378076062639821
RENOVISOR,det_19_wellbeing,822,508,74.748322147651,17.775833604631732,0.9194630872483222,0.5682326621923938
RENOVISOR,det_20_coziness,757,405,68.6364653243848,19.138174161200467,0.8467561521252797,0.45302013422818793
RENOVISOR,det_21_rights_and_duties,708,400,66.94854586129753,21.745489888018117,0.7919463087248322,0.44742729306487694
RENOVISOR,det_22_peer_pressure,274,439,34.720357941834465,24.971923528422078,0.30648769574944074,0.49105145413870244
RENOVISOR,det_23_support,459,291,48.65883668903804,23.521188303423404,0.5134228187919463,0.32550335570469796
RENOVISOR,det_24_socialising,199,500,30.159955257270717,24.942759249284393,0.2225950782997763,0.5592841163310962
RENOVISOR,det_25_agreement,631,438,60.8434004474273,26.152367651452735,0.7058165548098434,0.4899328859060403
RENOVISOR,det_26_novelty,442,336,46.76621923937359,24.872263585773865,0.49440715883668906,0.37583892617449666
RENOVISOR,det_27_fun,367,375,41.69686800894856,26.1632580311923,0.4105145413870246,0.41946308724832215
RENOVISOR,det_28_recognition,159,578,25.190156599552584,23.9162797281199,0.17785234899328858,0.6465324384787472
RENOVISOR,det_29_trends,199,494,30.7930648769575,24.008460551522578,0.2225950782997763,0.5525727069351231
RENOVISOR,det_30_authority,208,458,31.838926174496624,24.69792428563942,0.232662192393736,0.5123042505592841
RENOVISOR,det_31_approval,156,552,26.60290827740491,23.98595222596813,0.174496644295302,0.6174496644295302
RENOVISOR,det_32_own_significance,582,340,55.83445190156601,23.95103952608534,0.6510067114093959,0.38031319910514544
WHY_EUROPE,det_01_profits,690,387,60.031925849639556,24.196106236519306,0.7106076210092688,0.39855818743563337
WHY_EUROPE,det_02_credit_score,830,508,71.0844490216272,21.41401109833983,0.854788877445932,0.5231719876416066
WHY_EUROPE,det_03_risk_profile,859,427,69.83316168898043,17.85667371253367,0.8846549948506695,0.43975283213182287
WHY_EUROPE,det_04_added_value,626,258,54.57260556127703,21.457645437935007,0.6446961894953656,0.26570545829042225
WHY_EUROPE,det_05_frugality,706,370,61.24819773429455,22.53238641311965,0.7270854788877446,0.38105046343975285
WHY_EUROPE,det_06_climate_protection,585,357,54.520082389289385,24.330464514644177,0.6024716786817713,0.36766220391349125
WHY_EUROPE,det_07_legal,767,411,65.48506694129762,23.032127571833325,0.7899073120494335,0.4232749742533471
WHY_EUROPE,det_08_trust,855,524,72.264675592173,19.516711801930132,0.8805355303810505,0.5396498455200824
WHY_EUROPE,det_09_safety,820,349,65.60762100926881,19.816152518166298,0.8444902162718847,0.35942327497425336
WHY_EUROPE,det_10_cost_efficiency,902,630,77.81668383110195,17.622483580596345,0.9289392378990731,0.6488156539649845
WHY_EUROPE,det_11_knowledge,889,609,76.79814624098867,18.677635246885686,0.9155509783728115,0.627188465499485
WHY_EUROPE,det_12_own_competence,778,354,63.09680741503605,20.649926988787506,0.8012358393408857,0.364572605561277
WHY_EUROPE,det_13_technical_fit,868,481,71.55715756951595,19.16261334637776,0.893923789907312,0.49536560247167866
WHY_EUROPE,det_14_environmental_concerns,751,428,64.20597322348095,22.91064681495691,0.7734294541709578,0.4407826982492276
WHY_EUROPE,det_15_self_satisfaction,917,577,76.36663233779609,16.421681634939958,0.9443872296601442,0.5942327497425335
