analysis_sample,weighting,method,matrix_name,matrix,d_hamming,prototype,incremental_covered_pct,cumulative_covered_pct,center_signature_size,center_active_determinants
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,EXT,2,8,1.648244047619057,23.324255952381073,12,det_11_knowledge; det_13_technical_fit; det_22_peer_pressure; det_23_support; det_24_socialising; det_25_agreement; det_26_novelty; det_27_fun; det_28_recognition; det_29_trends; det_30_authority; det_31_approval
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,EXT,3,8,2.649494047619066,34.24288690476204,12,det_04_added_value; det_05_frugality; det_06_climate_protection; det_07_legal; det_10_cost_efficiency; det_14_environmental_concerns; det_21_rights_and_duties; det_22_peer_pressure; det_23_support; det_25_agreement; det_27_fun; det_32_own_significance
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,EXT,4,8,1.3895238095238178,42.6842559523812,8,det_01_profits; det_02_credit_score; det_05_frugality; det_09_safety; det_10_cost_efficiency; det_15_self_satisfaction; det_19_wellbeing; det_20_coziness
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,EXT,5,8,1.2968452380952467,50.76657738095282,10,det_01_profits; det_03_risk_profile; det_09_safety; det_10_cost_efficiency; det_13_technical_fit; det_15_self_satisfaction; det_16_commitment; det_17_adherence; det_19_wellbeing; det_20_coziness
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,EXT,6,8,6.121994047618981,64.51095238095293,8,det_04_added_value; det_07_legal; det_09_safety; det_15_self_satisfaction; det_17_adherence; det_18_autonomy; det_19_wellbeing; det_20_coziness
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,EXT,7,8,1.2747023809523883,76.16470238095188,12,det_01_profits; det_02_credit_score; det_05_frugality; det_09_safety; det_10_cost_efficiency; det_15_self_satisfaction; det_18_autonomy; det_19_wellbeing; det_20_coziness; det_23_support; det_26_novelty; det_32_own_significance
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,EXT,8,8,1.0234226190476257,83.40309523809444,13,det_01_profits; det_02_credit_score; det_04_added_value; det_05_frugality; det_09_safety; det_10_cost_efficiency; det_15_self_satisfaction; det_18_autonomy; det_19_wellbeing; det_20_coziness; det_23_support; det_26_novelty; det_32_own_significance
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,EXT,9,8,0.21857142857142978,88.53827380952292,14,det_04_added_value; det_05_frugality; det_06_climate_protection; det_07_legal; det_08_trust; det_11_knowledge; det_12_own_competence; det_13_technical_fit; det_14_environmental_concerns; det_21_rights_and_duties; det_23_support; det_29_trends; det_30_authority; det_32_own_significance
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,EXT,10,8,1.468601190476201,93.96660714285615,9,det_01_profits; det_03_risk_profile; det_05_frugality; det_09_safety; det_10_cost_efficiency; det_18_autonomy; det_23_support; det_29_trends; det_30_authority
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,EXT,0,9,0.32455357142857294,5.683779761904794,10,det_07_legal; det_22_peer_pressure; det_24_socialising; det_25_agreement; det_26_novelty; det_27_fun; det_28_recognition; det_29_trends; det_30_authority; det_31_approval
