bootstrap_id,country_code,n_draws_country,n_draw_country,correct_country_size
219,MX,517,517,TRUE
220,CL,78,78,TRUE
220,CO,13,13,TRUE
220,MX,517,517,TRUE
221,CL,78,78,TRUE
221,CO,13,13,TRUE
221,MX,517,517,TRUE
222,CL,78,78,TRUE
222,CO,13,13,TRUE
222,MX,517,517,TRUE
223,CL,78,78,TRUE
223,CO,13,13,TRUE
223,MX,517,517,TRUE
224,CL,78,78,TRUE
224,CO,13,13,TRUE
224,MX,517,517,TRUE
225,CL,78,78,TRUE
225,CO,13,13,TRUE
225,MX,517,517,TRUE
226,CL,78,78,TRUE
226,CO,13,13,TRUE
226,MX,517,517,TRUE
227,CL,78,78,TRUE
227,CO,13,13,TRUE
227,MX,517,517,TRUE
228,CL,78,78,TRUE
228,CO,13,13,TRUE
228,MX,517,517,TRUE
229,CL,78,78,TRUE
229,CO,13,13,TRUE
229,MX,517,517,TRUE
230,CL,78,78,TRUE
230,CO,13,13,TRUE
230,MX,517,517,TRUE
231,CL,78,78,TRUE
231,CO,13,13,TRUE
231,MX,517,517,TRUE
232,CL,78,78,TRUE
232,CO,13,13,TRUE
232,MX,517,517,TRUE
233,CL,78,78,TRUE
233,CO,13,13,TRUE
233,MX,517,517,TRUE
234,CL,78,78,TRUE
234,CO,13,13,TRUE
234,MX,517,517,TRUE
235,CL,78,78,TRUE
235,CO,13,13,TRUE
235,MX,517,517,TRUE
236,CL,78,78,TRUE
236,CO,13,13,TRUE
236,MX,517,517,TRUE
237,CL,78,78,TRUE
237,CO,13,13,TRUE
237,MX,517,517,TRUE
238,CL,78,78,TRUE
238,CO,13,13,TRUE
238,MX,517,517,TRUE
239,CL,78,78,TRUE
239,CO,13,13,TRUE
239,MX,517,517,TRUE
240,CL,78,78,TRUE
240,CO,13,13,TRUE
240,MX,517,517,TRUE
241,CL,78,78,TRUE
241,CO,13,13,TRUE
241,MX,517,517,TRUE
242,CL,78,78,TRUE
242,CO,13,13,TRUE
242,MX,517,517,TRUE
243,CL,78,78,TRUE
243,CO,13,13,TRUE
243,MX,517,517,TRUE
244,CL,78,78,TRUE
244,CO,13,13,TRUE
244,MX,517,517,TRUE
245,CL,78,78,TRUE
245,CO,13,13,TRUE
245,MX,517,517,TRUE
246,CL,78,78,TRUE
246,CO,13,13,TRUE
246,MX,517,517,TRUE
247,CL,78,78,TRUE
247,CO,13,13,TRUE
247,MX,517,517,TRUE
248,CL,78,78,TRUE
248,CO,13,13,TRUE
248,MX,517,517,TRUE
249,CL,78,78,TRUE
249,CO,13,13,TRUE
249,MX,517,517,TRUE
250,CL,78,78,TRUE
250,CO,13,13,TRUE
250,MX,517,517,TRUE
251,CL,78,78,TRUE
251,CO,13,13,TRUE
251,MX,517,517,TRUE
252,CL,78,78,TRUE
252,CO,13,13,TRUE
252,MX,517,517,TRUE
253,CL,78,78,TRUE
253,CO,13,13,TRUE
253,MX,517,517,TRUE
254,CL,78,78,TRUE
254,CO,13,13,TRUE
254,MX,517,517,TRUE
255,CL,78,78,TRUE
255,CO,13,13,TRUE
255,MX,517,517,TRUE
256,CL,78,78,TRUE
256,CO,13,13,TRUE
256,MX,517,517,TRUE
257,CL,78,78,TRUE
257,CO,13,13,TRUE
257,MX,517,517,TRUE
258,CL,78,78,TRUE
258,CO,13,13,TRUE
258,MX,517,517,TRUE
259,CL,78,78,TRUE
259,CO,13,13,TRUE
259,MX,517,517,TRUE
260,CL,78,78,TRUE
260,CO,13,13,TRUE
260,MX,517,517,TRUE
261,CL,78,78,TRUE
261,CO,13,13,TRUE
261,MX,517,517,TRUE
262,CL,78,78,TRUE
262,CO,13,13,TRUE
262,MX,517,517,TRUE
263,CL,78,78,TRUE
263,CO,13,13,TRUE
263,MX,517,517,TRUE
264,CL,78,78,TRUE
264,CO,13,13,TRUE
264,MX,517,517,TRUE
265,CL,78,78,TRUE
265,CO,13,13,TRUE
265,MX,517,517,TRUE
266,CL,78,78,TRUE
266,CO,13,13,TRUE
266,MX,517,517,TRUE
267,CL,78,78,TRUE
267,CO,13,13,TRUE
267,MX,517,517,TRUE
268,CL,78,78,TRUE
268,CO,13,13,TRUE
268,MX,517,517,TRUE
269,CL,78,78,TRUE
269,CO,13,13,TRUE
269,MX,517,517,TRUE
270,CL,78,78,TRUE
270,CO,13,13,TRUE
270,MX,517,517,TRUE
271,CL,78,78,TRUE
271,CO,13,13,TRUE
271,MX,517,517,TRUE
272,CL,78,78,TRUE
272,CO,13,13,TRUE
272,MX,517,517,TRUE
273,CL,78,78,TRUE
273,CO,13,13,TRUE
273,MX,517,517,TRUE
274,CL,78,78,TRUE
274,CO,13,13,TRUE
274,MX,517,517,TRUE
275,CL,78,78,TRUE
275,CO,13,13,TRUE
275,MX,517,517,TRUE
276,CL,78,78,TRUE
276,CO,13,13,TRUE
276,MX,517,517,TRUE
277,CL,78,78,TRUE
277,CO,13,13,TRUE
277,MX,517,517,TRUE
278,CL,78,78,TRUE
278,CO,13,13,TRUE
278,MX,517,517,TRUE
279,CL,78,78,TRUE
279,CO,13,13,TRUE
279,MX,517,517,TRUE
280,CL,78,78,TRUE
280,CO,13,13,TRUE
280,MX,517,517,TRUE
281,CL,78,78,TRUE
281,CO,13,13,TRUE
281,MX,517,517,TRUE
282,CL,78,78,TRUE
282,CO,13,13,TRUE
282,MX,517,517,TRUE
283,CL,78,78,TRUE
283,CO,13,13,TRUE
