analysis_sample,matrix,comparison,metric,left_id,right_id,matching_similarity_pct,n_left,n_right,n_common,overlap_left_pct,overlap_right_pct,jaccard_pct,common_determinants,greater_than_50,greater_or_equal_50
WHY_EUROPE,RAW,KM_vs_EXPERTS,jaccard_pct,KM1,Careful,66.66666666666667,13,12,10,76.92307692307692,83.33333333333333,66.66666666666667,det_02_credit_score; det_03_risk_profile; det_08_trust; det_09_safety; det_10_cost_efficiency; det_11_knowledge; det_14_environmental_concerns; det_16_commitment; det_17_adherence; det_19_wellbeing,TRUE,TRUE
WHY_EUROPE,RAW,KM_vs_EXPERTS,jaccard_pct,KM4,Early.Adopter,50,9,6,5,55.55555555555556,83.33333333333333,50,det_11_knowledge; det_14_environmental_concerns; det_15_self_satisfaction; det_17_adherence; det_29_trends,FALSE,TRUE
WHY_EUROPE,RAW,KM_vs_EXPERTS,jaccard_pct,KM3,Homo.Economicus,41.666666666666664,8,9,5,62.5,55.55555555555556,41.666666666666664,det_08_trust; det_10_cost_efficiency; det_11_knowledge; det_13_technical_fit; det_15_self_satisfaction,FALSE,FALSE
WHY_EUROPE,RAW,KM_vs_EXPERTS,jaccard_pct,KM5,Fearful,41.1764705882353,15,9,7,46.666666666666664,77.77777777777777,41.1764705882353,det_02_credit_score; det_03_risk_profile; det_07_legal; det_08_trust; det_10_cost_efficiency; det_11_knowledge; det_13_technical_fit,FALSE,FALSE
WHY_EUROPE,RAW,KM_vs_EXPERTS,jaccard_pct,KM2,Influencer,30,8,5,3,37.5,60,30,det_24_socialising; det_28_recognition; det_31_approval,FALSE,FALSE
WHY_EUROPE,RAW,KM_vs_EXPERTS,jaccard_pct,KM6,Uninterested,27.272727272727273,8,6,3,37.5,50,27.272727272727273,det_13_technical_fit; det_19_wellbeing; det_20_coziness,FALSE,FALSE
WHY_EUROPE,RAW,EFA_vs_EXPERTS,jaccard_pct,EFA1,Influencer,44.44444444444444,8,5,4,50,80,44.44444444444444,det_22_peer_pressure; det_24_socialising; det_28_recognition; det_31_approval,FALSE,FALSE
WHY_EUROPE,RAW,EFA_vs_EXPERTS,jaccard_pct,EFA6,Activist,40,8,6,4,50,66.66666666666667,40,det_13_technical_fit; det_15_self_satisfaction; det_16_commitment; det_17_adherence,FALSE,FALSE
WHY_EUROPE,RAW,EFA_vs_EXPERTS,jaccard_pct,EFA5,Careful,33.333333333333336,12,12,6,50,50,33.333333333333336,det_03_risk_profile; det_09_safety; det_10_cost_efficiency; det_16_commitment; det_17_adherence; det_19_wellbeing,FALSE,FALSE
WHY_EUROPE,RAW,EFA_vs_EXPERTS,jaccard_pct,EFA3,Fearful,30.76923076923077,8,9,4,50,44.44444444444444,30.76923076923077,det_03_risk_profile; det_07_legal; det_10_cost_efficiency; det_13_technical_fit,FALSE,FALSE
WHY_EUROPE,RAW,EFA_vs_EXPERTS,jaccard_pct,EFA4,Homo.Economicus,25,11,9,4,36.36363636363637,44.44444444444444,25,det_01_profits; det_10_cost_efficiency; det_13_technical_fit; det_15_self_satisfaction,FALSE,FALSE
WHY_EUROPE,RAW,EFA_vs_EXPERTS,jaccard_pct,EFA2,Early.Adopter,16.666666666666668,8,6,2,25,33.333333333333336,16.666666666666668,det_11_knowledge; det_14_environmental_concerns,FALSE,FALSE
