bootstrap_id,analysis_sample,n_draws
166,WHY_LATAM,608
167,COMPLETE,1608
167,EUROPE,1000
167,LATAM,608
167,DIEGO,252
167,RENOVISOR,605
167,WHY_EUROPE,143
167,WHY_LATAM,608
168,COMPLETE,1608
168,EUROPE,1000
168,LATAM,608
168,DIEGO,243
168,RENOVISOR,626
168,WHY_EUROPE,131
168,WHY_LATAM,608
169,COMPLETE,1608
169,EUROPE,1000
169,LATAM,608
169,DIEGO,251
169,RENOVISOR,613
169,WHY_EUROPE,136
169,WHY_LATAM,608
170,COMPLETE,1608
170,EUROPE,1000
170,LATAM,608
170,DIEGO,264
170,RENOVISOR,603
170,WHY_EUROPE,133
170,WHY_LATAM,608
171,COMPLETE,1608
171,EUROPE,1000
171,LATAM,608
171,DIEGO,263
171,RENOVISOR,608
