bootstrap_id,analysis_sample,n_draws
134,WHY_LATAM,608
135,COMPLETE,1608
135,EUROPE,1000
135,LATAM,608
135,DIEGO,256
135,RENOVISOR,605
135,WHY_EUROPE,139
135,WHY_LATAM,608
136,COMPLETE,1608
136,EUROPE,1000
136,LATAM,608
136,DIEGO,249
136,RENOVISOR,608
136,WHY_EUROPE,143
136,WHY_LATAM,608
137,COMPLETE,1608
137,EUROPE,1000
137,LATAM,608
137,DIEGO,263
137,RENOVISOR,603
137,WHY_EUROPE,134
137,WHY_LATAM,608
138,COMPLETE,1608
138,EUROPE,1000
138,LATAM,608
138,DIEGO,243
138,RENOVISOR,609
138,WHY_EUROPE,148
138,WHY_LATAM,608
139,COMPLETE,1608
139,EUROPE,1000
139,LATAM,608
139,DIEGO,257
139,RENOVISOR,615
139,WHY_EUROPE,128
139,WHY_LATAM,608
140,COMPLETE,1608
140,EUROPE,1000
140,LATAM,608
140,DIEGO,263
140,RENOVISOR,614
140,WHY_EUROPE,123
140,WHY_LATAM,608
141,COMPLETE,1608
141,EUROPE,1000
141,LATAM,608
141,DIEGO,240
141,RENOVISOR,615
141,WHY_EUROPE,145
141,WHY_LATAM,608
142,COMPLETE,1608
142,EUROPE,1000
142,LATAM,608
142,DIEGO,246
142,RENOVISOR,619
142,WHY_EUROPE,135
142,WHY_LATAM,608
143,COMPLETE,1608
143,EUROPE,1000
143,LATAM,608
143,DIEGO,250
143,RENOVISOR,617
143,WHY_EUROPE,133
143,WHY_LATAM,608
144,COMPLETE,1608
144,EUROPE,1000
144,LATAM,608
144,DIEGO,262
144,RENOVISOR,607
144,WHY_EUROPE,131
144,WHY_LATAM,608
145,COMPLETE,1608
145,EUROPE,1000
145,LATAM,608
145,DIEGO,235
145,RENOVISOR,628
145,WHY_EUROPE,137
145,WHY_LATAM,608
146,COMPLETE,1608
146,EUROPE,1000
146,LATAM,608
146,DIEGO,262
146,RENOVISOR,611
146,WHY_EUROPE,127
146,WHY_LATAM,608
147,COMPLETE,1608
147,EUROPE,1000
147,LATAM,608
147,DIEGO,244
147,RENOVISOR,626
147,WHY_EUROPE,130
147,WHY_LATAM,608
148,COMPLETE,1608
148,EUROPE,1000
148,LATAM,608
148,DIEGO,246
148,RENOVISOR,619
148,WHY_EUROPE,135
148,WHY_LATAM,608
149,COMPLETE,1608
149,EUROPE,1000
149,LATAM,608
149,DIEGO,260
149,RENOVISOR,609
149,WHY_EUROPE,131
149,WHY_LATAM,608
150,COMPLETE,1608
150,EUROPE,1000
150,LATAM,608
150,DIEGO,245
150,RENOVISOR,614
150,WHY_EUROPE,141
150,WHY_LATAM,608
151,COMPLETE,1608
151,EUROPE,1000
151,LATAM,608
151,DIEGO,242
151,RENOVISOR,615
151,WHY_EUROPE,143
151,WHY_LATAM,608
152,COMPLETE,1608
152,EUROPE,1000
152,LATAM,608
152,DIEGO,240
152,RENOVISOR,598
152,WHY_EUROPE,162
152,WHY_LATAM,608
153,COMPLETE,1608
153,EUROPE,1000
153,LATAM,608
153,DIEGO,256
153,RENOVISOR,611
153,WHY_EUROPE,133
153,WHY_LATAM,608
154,COMPLETE,1608
154,EUROPE,1000
154,LATAM,608
154,DIEGO,267
154,RENOVISOR,601
154,WHY_EUROPE,132
154,WHY_LATAM,608
155,COMPLETE,1608
155,EUROPE,1000
155,LATAM,608
155,DIEGO,238
155,RENOVISOR,621
155,WHY_EUROPE,141
155,WHY_LATAM,608
156,COMPLETE,1608
156,EUROPE,1000
156,LATAM,608
156,DIEGO,264
156,RENOVISOR,610
156,WHY_EUROPE,126
156,WHY_LATAM,608
157,COMPLETE,1608
157,EUROPE,1000
157,LATAM,608
157,DIEGO,247
157,RENOVISOR,614
157,WHY_EUROPE,139
157,WHY_LATAM,608
158,COMPLETE,1608
158,EUROPE,1000
158,LATAM,608
158,DIEGO,248
158,RENOVISOR,610
158,WHY_EUROPE,142
158,WHY_LATAM,608
159,COMPLETE,1608
159,EUROPE,1000
159,LATAM,608
159,DIEGO,241
159,RENOVISOR,609
159,WHY_EUROPE,150
159,WHY_LATAM,608
160,COMPLETE,1608
160,EUROPE,1000
160,LATAM,608
160,DIEGO,235
160,RENOVISOR,629
160,WHY_EUROPE,136
160,WHY_LATAM,608
161,COMPLETE,1608
161,EUROPE,1000
161,LATAM,608
161,DIEGO,261
161,RENOVISOR,611
161,WHY_EUROPE,128
161,WHY_LATAM,608
162,COMPLETE,1608
162,EUROPE,1000
162,LATAM,608
162,DIEGO,259
162,RENOVISOR,599
162,WHY_EUROPE,142
162,WHY_LATAM,608
163,COMPLETE,1608
163,EUROPE,1000
163,LATAM,608
163,DIEGO,267
163,RENOVISOR,596
163,WHY_EUROPE,137
163,WHY_LATAM,608
164,COMPLETE,1608
164,EUROPE,1000
164,LATAM,608
164,DIEGO,236
164,RENOVISOR,615
164,WHY_EUROPE,149
164,WHY_LATAM,608
165,COMPLETE,1608
165,EUROPE,1000
165,LATAM,608
165,DIEGO,265
165,RENOVISOR,610
165,WHY_EUROPE,125
165,WHY_LATAM,608
166,COMPLETE,1608
166,EUROPE,1000
166,LATAM,608
166,DIEGO,241
166,RENOVISOR,620
166,WHY_EUROPE,139
