analysis_sample,variable,category,mean_n,sd_n,mean_total_n,sd_total_n,mean_prop,sd_prop,n_bootstraps
RENOVISOR,political_left_right_model,25,31.971,5.222972184344686,611.641,9.484939803872402,0.05227442399795317,0.00852282823093645,1000
RENOVISOR,political_left_right_model,40,30.13,4.981758516620204,611.641,9.484939803872402,0.04926661859783811,0.0081486982751292,1000
RENOVISOR,political_left_right_model,0,24.889,4.75492253231199,611.641,9.484939803872402,0.04069327810502737,0.00775584849007279,1000
RENOVISOR,political_left_right_model,60,24.234,4.281305125025965,611.641,9.484939803872402,0.03962669917266167,0.0070087425633016225,1000
RENOVISOR,political_left_right_model,30,23.478,4.671545712003613,611.641,9.484939803872402,0.03838596813320211,0.007618749243097975,1000
RENOVISOR,political_left_right_model,85,20.339,3.9754097754675546,611.641,9.484939803872402,0.03326188259420985,0.0065192864012813745,1000
RENOVISOR,political_left_right_model,Missing,18.817,4.286710497209572,611.641,9.484939803872402,0.030741739637965997,0.006878414158973096,1000
RENOVISOR,political_left_right_model,80,18.751,3.8574446047712563,611.641,9.484939803872402,0.03065767675502707,0.006284236169894412,1000
RENOVISOR,political_left_right_model,10,18.563,4.0675023756078525,611.641,9.484939803872402,0.030355714838699737,0.006669655595338333,1000
RENOVISOR,political_left_right_model,15,17.884,4.1487053107874505,611.641,9.484939803872402,0.02923030886316936,0.006732905552622427,1000
RENOVISOR,political_left_right_model,100,17.486,3.7584478085946484,611.641,9.484939803872402,0.028591179033436515,0.0061454160152445815,1000
RENOVISOR,political_left_right_model,45,16.416,3.7227413021593123,611.641,9.484939803872402,0.02684010987014685,0.006077675393169828,1000
RENOVISOR,political_left_right_model,35,15.143,3.6919075260874354,611.641,9.484939803872402,0.0247573372984817,0.006019981939695371,1000
RENOVISOR,political_left_right_model,55,13.599,3.604607078752436,611.641,9.484939803872402,0.022233157151781716,0.005878993461190829,1000
RENOVISOR,political_left_right_model,65,12.155,3.303011487246882,611.641,9.484939803872402,0.019874380151821205,0.0053975264511490475,1000
RENOVISOR,political_left_right_model,70,9.706,2.8575740987295,611.641,9.484939803872402,0.015860777573244167,0.0046376103870278814,1000
RENOVISOR,political_left_right_model,75,7.708,2.714793934372575,611.641,9.484939803872402,0.012603249617207256,0.0044420920726377985,1000
RENOVISOR,political_left_right_model,87,7.159,2.6035547809672654,611.641,9.484939803872402,0.011707853669501138,0.004262647586755313,1000
RENOVISOR,political_left_right_model,26,7.129,2.628929491308251,611.641,9.484939803872402,0.011657634893052469,0.004302657678575523,1000
RENOVISOR,political_left_right_model,19,7.036,2.571637088960512,611.641,9.484939803872402,0.01150622494429613,0.0042062845463808835,1000
RENOVISOR,political_left_right_model,33,6.93,2.8261435007952205,611.641,9.484939803872402,0.01133178247314743,0.0046230063012494,1000
RENOVISOR,political_left_right_model,23,6.722,2.558370821687357,611.641,9.484939803872402,0.010988239524772167,0.004174720325483432,1000
RENOVISOR,political_left_right_model,51,5.625,2.334914736521834,611.641,9.484939803872402,0.009197468174372652,0.003818108110626737,1000
RENOVISOR,political_left_right_model,52,5.548,2.308034450137823,611.641,9.484939803872402,0.009070060243474327,0.0037678451730726674,1000
RENOVISOR,political_left_right_model,47,5.325,2.3243876134968886,611.641,9.484939803872402,0.008705251272135667,0.003801081289571613,1000
RENOVISOR,political_left_right_model,37,4.49,2.0547803099412114,611.641,9.484939803872402,0.0073398937496229515,0.0033572630348617746,1000
RENOVISOR,political_left_right_model,5,4.43,2.0256364933529434,611.641,9.484939803872402,0.007242333120939898,0.003306502740106057,1000
RENOVISOR,political_left_right_model,17,4.352,2.0129948206958104,611.641,9.484939803872402,0.0071159494459925015,0.0032920799088743684,1000
RENOVISOR,political_left_right_model,42,4.327,2.0114962384049213,611.641,9.484939803872402,0.007073294819397228,0.0032834177951172223,1000
RENOVISOR,political_left_right_model,49,4.25,2.0272172082955517,611.641,9.484939803872402,0.006948273195131677,0.0033123163073998725,1000
RENOVISOR,political_left_right_model,48,4.066,2.0223090104466515,611.641,9.484939803872402,0.006646767484822973,0.0033030976365580854,1000
RENOVISOR,political_left_right_model,84,4.056,1.9361334180816678,611.641,9.484939803872402,0.006633775725278166,0.003168793280084947,1000
RENOVISOR,political_left_right_model,14,4.019,1.999659380403969,611.641,9.484939803872402,0.006570978271833735,0.0032683929360409892,1000
RENOVISOR,political_left_right_model,24,3.903,1.9003163426656573,611.641,9.484939803872402,0.006382685925042149,0.0031109522698121277,1000
RENOVISOR,political_left_right_model,18,3.756,1.9910872478192507,611.641,9.484939803872402,0.006140247121309763,0.0032542738108308693,1000
RENOVISOR,political_left_right_model,89,3.74,1.877211741899104,611.641,9.484939803872402,0.006116043866141298,0.003069564284128887,1000
RENOVISOR,political_left_right_model,11,3.718,1.8750978619773464,611.641,9.484939803872402,0.006078796757802749,0.003068100263350447,1000
RENOVISOR,political_left_right_model,81,3.675,1.8630206241064104,611.641,9.484939803872402,0.006010624120956148,0.0030484400574231395,1000
RENOVISOR,political_left_right_model,16,3.569,1.8293675370426798,611.641,9.484939803872402,0.005831364552704613,0.002981160446588673,1000
RENOVISOR,political_left_right_model,86,3.53,1.7984255153701367,611.641,9.484939803872402,0.005773043734336999,0.002941261338450091,1000
RENOVISOR,political_left_right_model,21,3.495,1.8404788405092756,611.641,9.484939803872402,0.005715879357191598,0.003010078561852761,1000
RENOVISOR,political_left_right_model,73,3.487,1.8818534407260208,611.641,9.484939803872402,0.005701141535220532,0.0030783981940600076,1000
RENOVISOR,political_left_right_model,32,3.419,1.8140368600802286,611.641,9.484939803872402,0.005590691781034331,0.0029650969095199866,1000
RENOVISOR,political_left_right_model,36,3.4,1.842116552608278,611.641,9.484939803872402,0.005560864808071134,0.0030135968742521953,1000
RENOVISOR,political_left_right_model,83,3.28,1.7665561753651404,611.641,9.484939803872402,0.0053634151790784585,0.0028882467202469187,1000
RENOVISOR,political_left_right_model,41,3.24,1.8411381778100848,611.641,9.484939803872402,0.005297084837134712,0.003006496344830969,1000
RENOVISOR,political_left_right_model,58,3.213,1.7974598359523515,611.641,9.484939803872402,0.0052520429395624315,0.0029353203523287135,1000
RENOVISOR,political_left_right_model,12,3.189,1.7732522165285545,611.641,9.484939803872402,0.005211271855652968,0.0028942897485542975,1000
RENOVISOR,political_left_right_model,28,3.186,1.7205709413925225,611.641,9.484939803872402,0.005206834731667062,0.002806861945413865,1000
RENOVISOR,political_left_right_model,61,3.058,1.7197655635561544,611.641,9.484939803872402,0.00499920092584781,0.0028111575946975823,1000
RENOVISOR,political_left_right_model,77,2.921,1.693406810729962,611.641,9.484939803872402,0.004777861918441511,0.0027700268055920914,1000
RENOVISOR,political_left_right_model,7,2.904,1.6430104940271812,611.641,9.484939803872402,0.00474802629550819,0.002685615706263146,1000
RENOVISOR,political_left_right_model,44,2.902,1.6760683772463503,611.641,9.484939803872402,0.0047454545465852585,0.002739973637497549,1000
RENOVISOR,political_left_right_model,90,2.874,1.566070425165024,611.641,9.484939803872402,0.004700674889541204,0.0025664909031276354,1000
RENOVISOR,political_left_right_model,46,2.831,1.7003912286089704,611.641,9.484939803872402,0.004630552344080435,0.002781763473862678,1000
RENOVISOR,political_left_right_model,8,2.609,1.6083238808479148,611.641,9.484939803872402,0.0042677034149854465,0.00263349739128093,1000
RENOVISOR,political_left_right_model,54,2.545,1.5819220832510927,611.641,9.484939803872402,0.004162798534779973,0.002590178061621198,1000
RENOVISOR,political_left_right_model,13,2.486,1.5388866664482455,611.641,9.484939803872402,0.004064899633645664,0.0025157682066529277,1000
RENOVISOR,political_left_right_model,53,2.484,1.5323485543740067,611.641,9.484939803872402,0.004061753850645959,0.0025075262255921742,1000
RENOVISOR,political_left_right_model,9,2.468,1.5366643541571883,611.641,9.484939803872402,0.004034103728555723,0.0025121514548590816,1000
RENOVISOR,political_left_right_model,22,2.357,1.48585287251422,611.641,9.484939803872402,0.0038528973512651134,0.0024247411544095925,1000
RENOVISOR,political_left_right_model,57,2.297,1.51429326224615,611.641,9.484939803872402,0.0037572146796806603,0.002477573401374527,1000
RENOVISOR,political_left_right_model,56,2.273,1.461713928102078,611.641,9.484939803872402,0.003716538881690558,0.0023861423078492716,1000
RENOVISOR,political_left_right_model,2,2.194,1.453436093014237,611.641,9.484939803872402,0.0035856288240045248,0.002372254110406547,1000
RENOVISOR,political_left_right_model,1,2.144,1.4971658243178922,611.641,9.484939803872402,0.003506654682623005,0.0024524974802673954,1000
RENOVISOR,political_left_right_model,29,2.075,1.4803940578665429,611.641,9.484939803872402,0.003392976577236312,0.0024222864490462417,1000
RENOVISOR,political_left_right_model,38,2.074,1.4073039843987167,611.641,9.484939803872402,0.003387593490386479,0.0022943958444127306,1000
RENOVISOR,political_left_right_model,43,2.071,1.4608535495021648,611.641,9.484939803872402,0.003386297569371139,0.0023891871627179226,1000
