analysis_sample,integrated_row_id,subsample,comparison_region,subsample_row_id,global_participant_key,dataset_source,source_survey,source_file,participant_key,prolific_id,identification_code,country_model,country_model_grouped,country_region_model,age_group_model,gender_model,employment_model,row_quality_final,usable_for_clustering,usable_for_main_analysis,n_det_valid,dim_autonomy,dim_competence,dim_financial,dim_meaning,dim_physiological,dim_popularity,dim_relatedness,dim_security,dim_stimulation
DIEGO,4120,DIEGO,EUROPE,1263,diego__diego_1263,diego,Survey_September2023_cleaned,Survey_September2023_cleaned.xlsx,diego_1263,NA,NA,DE,DE,western_europe,25_34,male,employed,usable_complete,TRUE,TRUE,32,0.4195853307442813,0.6041305252578608,0.4304432625283585,0.2745857844013408,0.28921733031103086,0.2458731672840802,0.6908377661370215,0.1984686345242137,0.30544698474978743
DIEGO,4121,DIEGO,EUROPE,1264,diego__diego_1264,diego,Survey_September2023_cleaned,Survey_September2023_cleaned.xlsx,diego_1264,NA,NA,DE,DE,western_europe,25_34,female,self_employed,usable_complete,TRUE,TRUE,32,0.8644286167423498,0.1851390231467027,0.361342882169963,0.35120312498773026,0,0.6631251061118955,0.30033125984346637,0.33064176774264403,0.35986675777383154
DIEGO,4122,DIEGO,EUROPE,1265,diego__diego_1265,diego,Survey_September2023_cleaned,Survey_September2023_cleaned.xlsx,diego_1265,NA,NA,DE,DE,western_europe,25_34,male,student,usable_complete,TRUE,TRUE,32,0,0.18213991596141696,0.12677637448823448,0.22748497778652318,0,0.2230307892835378,0.5484855663990639,0,0.5969994114253419
DIEGO,4123,DIEGO,EUROPE,1266,diego__diego_1266,diego,Survey_September2023_cleaned,Survey_September2023_cleaned.xlsx,diego_1266,NA,NA,NL,NL,western_europe,25_34,female,employed,usable_complete,TRUE,TRUE,32,0,0.4382640288923434,0.46027877720292176,0,0.8258807273426514,0.17139419724101418,0.4001359675387316,0.1815460410630461,0.8046359875717092
DIEGO,4124,DIEGO,EUROPE,1267,diego__diego_1267,diego,Survey_September2023_cleaned,Survey_September2023_cleaned.xlsx,diego_1267,NA,NA,DE,DE,western_europe,25_34,male,employed,usable_complete,TRUE,TRUE,32,0.44674188277847116,0.3476966696102768,0.47817880843621674,0.2692658433626564,0.313795406118854,0.5960004523219183,0.4851633704736785,0.6042374995470147,0.3361428783050887
DIEGO,4125,DIEGO,EUROPE,1268,diego__diego_1268,diego,Survey_September2023_cleaned,Survey_September2023_cleaned.xlsx,diego_1268,NA,NA,NL,NL,western_europe,25_34,other,employed,usable_complete_limited_metadata,TRUE,TRUE,32,0.19246258300096514,0.19604038127158796,0.18439472734689405,0.5870802473916914,0,0,0.312002669212803,0.21441189804370822,0.8186796314538181
DIEGO,4126,DIEGO,EUROPE,1269,diego__diego_1269,diego,Survey_September2023_cleaned,Survey_September2023_cleaned.xlsx,diego_1269,NA,NA,DE,DE,western_europe,45_54,male,employed,usable_complete,TRUE,TRUE,32,0,0.3647547420940913,0,0.6623553008724087,0,0.48603543903692836,0,0,0.5669254256938165
DIEGO,4127,DIEGO,EUROPE,1270,diego__diego_1270,diego,Survey_September2023_cleaned,Survey_September2023_cleaned.xlsx,diego_1270,NA,NA,DE,DE,western_europe,25_34,male,employed,usable_complete,TRUE,TRUE,32,0.28635527148740675,0.18163977450337931,0.16075383800448034,0.49765946761557656,0,0.5738534130999633,0.5253286124112166,0.5037015996479198,0
DIEGO,4128,DIEGO,EUROPE,1271,diego__diego_1271,diego,Survey_September2023_cleaned,Survey_September2023_cleaned.xlsx,diego_1271,NA,NA,DE,DE,western_europe,25_34,male,employed,usable_complete,TRUE,TRUE,32,0.48376569073107856,0.3799848126391791,0.1496423275536802,0.24671275666533146,0,0.5960182231769694,0.4104811502479852,0,0.9199258458740669
DIEGO,4129,DIEGO,EUROPE,1272,diego__diego_1272,diego,Survey_September2023_cleaned,Survey_September2023_cleaned.xlsx,diego_1272,NA,NA,NL,NL,western_europe,45_54,female,employed,usable_complete,TRUE,TRUE,32,0.44891339176076145,0.3826699990326957,0.687459703406834,0.22164499427504294,0.3176833007353751,0.12634500141963856,0.29929332606270764,0.2834445509636215,0.32328429496719985
DIEGO,4130,DIEGO,EUROPE,1273,diego__diego_1273,diego,Survey_September2023_cleaned,Survey_September2023_cleaned.xlsx,diego_1273,NA,NA,DE,DE,western_europe,25_34,male,self_employed,usable_complete,TRUE,TRUE,32,0.426325215897023,0,0.6829696540087349,0,0,0.7601785539371921,0.3251124577586307,0,0.8574563483776911
DIEGO,4131,DIEGO,EUROPE,1274,diego__diego_1274,diego,Survey_September2023_cleaned,Survey_September2023_cleaned.xlsx,diego_1274,NA,NA,NL,NL,western_europe,18_24,male,unemployed,usable_complete,TRUE,TRUE,32,0.2312596270729785,0.14607733108531426,0.11535937519767277,0,0.4556903275335156,0.31792700045482525,0.6064826535210066,0.25857665574098143,0.6859540822315623
DIEGO,4132,DIEGO,EUROPE,1275,diego__diego_1275,diego,Survey_September2023_cleaned,Survey_September2023_cleaned.xlsx,diego_1275,NA,NA,DE,DE,western_europe,25_34,male,employed,usable_complete,TRUE,TRUE,32,0.6350668267442654,0,0,0,0,0.587550893637086,0.4447511818517581,0,0.4522217518270418
DIEGO,4133,DIEGO,EUROPE,1276,diego__diego_1276,diego,Survey_September2023_cleaned,Survey_September2023_cleaned.xlsx,diego_1276,NA,NA,DE,DE,western_europe,25_34,male,employed,usable_complete,TRUE,TRUE,32,0.6335464568437029,0.13819054238722167,0.5085306406454236,0.31952308810880153,0,0.22340655514443078,0.15246028242044207,0.7113912549341999,0.43795729551762624
