analysis_sample,matrix,matrix_name,d_hamming,prototype,KMEANS,EFA,delta_KMEANS_minus_EFA
WHY_EUROPE,POS,matrix_32_pos_0_1,9,2,96.58508928571332,36.14357142856779,60.441517857145534
WHY_EUROPE,POS,matrix_32_pos_0_1,9,3,97.90705357142755,52.53303571428077,45.37401785714678
WHY_EUROPE,POS,matrix_32_pos_0_1,9,4,98.27285714285614,62.44056547618509,35.83229166667105
WHY_EUROPE,POS,matrix_32_pos_0_1,9,5,98.4434226190466,64.01741071428023,34.42601190476637
WHY_EUROPE,POS,matrix_32_pos_0_1,9,6,98.63199404761802,68.8001190476133,29.83187500000473
WHY_EUROPE,POS,matrix_32_pos_0_1,9,7,98.97717261904658,69.50136904761325,29.47580357143333
WHY_EUROPE,POS,matrix_32_pos_0_1,9,8,99.38089285714184,73.04199404761304,26.3388988095288
WHY_EUROPE,POS,matrix_32_pos_0_1,10,1,96.4661309523802,20.711994047616475,75.75413690476373
WHY_EUROPE,POS,matrix_32_pos_0_1,10,2,98.40077380952305,43.3280059523758,55.07276785714725
WHY_EUROPE,POS,matrix_32_pos_0_1,10,3,98.9847023809516,62.82318452380213,36.16151785714948
WHY_EUROPE,POS,matrix_32_pos_0_1,10,4,99.38044642857064,74.84514880951605,24.53529761905459
WHY_EUROPE,POS,matrix_32_pos_0_1,10,5,99.513273809523,76.65327380951595,22.860000000007048
WHY_EUROPE,POS,matrix_32_pos_0_1,10,6,99.72580357142778,81.17261904761092,18.553184523816853
WHY_EUROPE,POS,matrix_32_pos_0_1,10,7,99.77818452380872,82.04386904761087,17.73431547619785
WHY_EUROPE,POS,matrix_32_pos_0_1,10,8,99.84315476190396,84.94967261903925,14.893482142864713
WHY_EUROPE,EXT,matrix_32_ext_0_1,0,1,0.1141071428571457,0.17595238095236873,-0.061845238095223035
WHY_EUROPE,EXT,matrix_32_ext_0_1,0,2,0.22348214285714835,0.3013095238095029,-0.07782738095235453
WHY_EUROPE,EXT,matrix_32_ext_0_1,0,3,0.30270833333334085,0.4057738095237813,-0.10306547619044043
WHY_EUROPE,EXT,matrix_32_ext_0_1,0,4,0.37821428571429505,0.499434523809489,-0.12122023809519394
WHY_EUROPE,EXT,matrix_32_ext_0_1,0,5,0.4501488095238207,0.5928869047618635,-0.14273809523804276
WHY_EUROPE,EXT,matrix_32_ext_0_1,0,6,0.5204464285714415,0.67651785714281,-0.15607142857136846
WHY_EUROPE,EXT,matrix_32_ext_0_1,0,7,0.5900892857143003,0.7592559523808994,-0.16916666666659907
WHY_EUROPE,EXT,matrix_32_ext_0_1,0,8,0.6578571428571591,0.8378571428570846,-0.17999999999992544
WHY_EUROPE,EXT,matrix_32_ext_0_1,1,1,0.38529761904762866,0.5137202380952024,-0.12842261904757374
WHY_EUROPE,EXT,matrix_32_ext_0_1,1,2,0.9881547619047863,0.8708035714285107,0.11735119047627562
