"scenario","type","K","D","assigned_pct","unassigned_pct"
"100-32","ext",4,13,97.5151572267772,2.48484277322276
"100-32","ext",4,14,99.1926617032639,0.807338296736091
"100-32","ext",4,15,100,0
"100-32","ext",4,16,100,0
"100-32","ext",4,17,100,0
"100-32","ext",4,18,100,0
"100-32","ext",4,19,100,0
"100-32","ext",4,20,100,0
"100-32","ext",5,0,0.0157069707536205,99.9842930292464
"100-32","ext",5,1,0.245028743756479,99.7549712562435
"100-32","ext",5,2,1.58012125781422,98.4198787421858
"100-32","ext",5,3,4.81889862721076,95.1811013727892
"100-32","ext",5,4,14.9656017340496,85.0343982659504
"100-32","ext",5,5,22.7845317752018,77.2154682247982
"100-32","ext",5,6,48.1073100241887,51.8926899758113
"100-32","ext",5,7,57.9712876574624,42.0287123425376
"100-32","ext",5,8,86.5171363050922,13.4828636949078
"100-32","ext",5,9,89.8156001633525,10.1843998366475
"100-32","ext",5,10,96.4345176389282,3.56548236107184
"100-32","ext",5,11,97.1319071403889,2.8680928596111
"100-32","ext",5,12,97.3957842490497,2.60421575095027
"100-32","ext",5,13,97.7821757295888,2.21782427041121
"100-32","ext",5,14,99.7958093802029,0.204190619797066
"100-32","ext",5,15,100,0
"100-32","ext",5,16,100,0
"100-32","ext",5,17,100,0
"100-32","ext",5,18,100,0
"100-32","ext",5,19,100,0
"100-32","ext",5,20,100,0
"100-32","ext",6,0,0.0188483649043446,99.9811516350957
"100-32","ext",6,1,0.2607357145101,99.7392642854899
"100-32","ext",6,2,1.73090817704897,98.269091822951
"100-32","ext",6,3,6.01262840448591,93.9873715955141
"100-32","ext",6,4,18.5436496717243,81.4563503282757
"100-32","ext",6,5,26.4442559607954,73.5557440392046
"100-32","ext",6,6,54.9052869663557,45.0947130336443
"100-32","ext",6,7,64.6404674394496,35.3595325605504
"100-32","ext",6,8,87.4249992146515,12.5750007853485
"100-32","ext",6,9,91.6219018000188,8.37809819998115
"100-32","ext",6,10,96.6858291709861,3.31417082901392
"100-32","ext",6,11,97.3769358841454,2.62306411585462
"100-32","ext",6,12,97.518298620928,2.48170137907203
"100-32","ext",6,13,97.8952659190149,2.10473408098514
"100-32","ext",6,14,99.908899569629,0.0911004303709986
"100-32","ext",6,15,100,0
"100-32","ext",6,16,100,0
"100-32","ext",6,17,100,0
"100-32","ext",6,18,100,0
"100-32","ext",6,19,100,0
"100-32","ext",6,20,100,0
"100-32","ext",7,0,0.0219897590550686,99.9780102409449
"100-32","ext",7,1,0.314139415072409,99.6858605849276
"100-32","ext",7,2,2.18641032890397,97.813589671096
"100-32","ext",7,3,6.4147268557786,93.5852731442214
"100-32","ext",7,4,21.9049414129991,78.0950585870009
"100-32","ext",7,5,32.3720667232118,67.6279332767882
"100-32","ext",7,6,61.3451449753401,38.6548550246599
"100-32","ext",7,7,70.0593723494487,29.9406276505513
"100-32","ext",7,8,90.2334055853988,9.7665944146012
"100-32","ext",7,9,91.8637891496246,8.1362108503754
"100-32","ext",7,10,96.7737882072064,3.22621179279364
"100-32","ext",7,11,97.4523293437628,2.54767065623724
"100-32","ext",7,12,97.6502371752584,2.34976282474162
"100-32","ext",7,13,98.0272044733453,1.97279552665473
"100-32","ext",7,14,99.9685860584928,0.0314139415072409
"100-32","ext",7,15,100,0
"100-32","ext",7,16,100,0
"100-32","ext",7,17,100,0
"100-32","ext",7,18,100,0
"100-32","ext",7,19,100,0
"100-32","ext",7,20,100,0
"100-32","ext",8,0,0.0251311532057927,99.9748688467942
"100-32","ext",8,1,0.326704991675306,99.6732950083247
"100-32","ext",8,2,2.61363993340244,97.3863600665976
"100-32","ext",8,3,6.98331919705965,93.0166808029403
"100-32","ext",8,4,25.5740897810448,74.4259102189552
"100-32","ext",8,5,35.3249772248924,64.6750227751076
"100-32","ext",8,6,64.351459177583,35.648540822417
"100-32","ext",8,7,73.1096660698018,26.8903339301982
"100-32","ext",8,8,90.4564445701002,9.54355542989979
"100-32","ext",8,9,91.9203342443376,8.07966575566236
"100-32","ext",8,10,96.8523230609745,3.14767693902554
"100-32","ext",8,11,97.5277228033801,2.47227719661986
"100-32","ext",8,12,97.8701347658091,2.12986523419093
"100-32","ext",8,13,98.5486759023655,1.45132409763453
"100-32","ext",8,14,100,0
"100-32","ext",8,15,100,0
"100-32","ext",8,16,100,0
"100-32","ext",8,17,100,0
"100-32","ext",8,18,100,0
"100-32","ext",8,19,100,0
"100-32","ext",8,20,100,0
"10-32","pos",1,0,0.00554078014184397,99.9944592198582
"10-32","pos",1,1,0.0443262411347518,99.9556737588652
"10-32","pos",1,2,0.892065602836879,99.1079343971631
"10-32","pos",1,3,1.23005319148936,98.7699468085106
