analysis_sample,matrix_name,efa_prototype,expert_profile,n_left,n_right,n_common,overlap_left_pct,overlap_right_pct,jaccard_pct,common_determinants
RENOVISOR,matrix_32_z_abs,EFA2,Activist,8,6,3,37.5,50,27.272727272727273,det_08_trust; det_14_environmental_concerns; det_17_adherence
RENOVISOR,matrix_32_z_abs,EFA3,Uninterested,8,6,2,25,33.333333333333336,16.666666666666668,det_19_wellbeing; det_20_coziness
RENOVISOR,matrix_32_z_abs,EFA4,Careful,8,12,4,50,33.333333333333336,25,det_02_credit_score; det_03_risk_profile; det_10_cost_efficiency; det_17_adherence
RENOVISOR,matrix_32_z_abs,EFA5,Activist,9,6,4,44.44444444444444,66.66666666666667,36.36363636363637,det_13_technical_fit; det_15_self_satisfaction; det_16_commitment; det_17_adherence
RENOVISOR,matrix_32_z_abs,EFA6,Careful,15,12,6,40,50,28.571428571428573,det_02_credit_score; det_09_safety; det_11_knowledge; det_12_own_competence; det_16_commitment; det_19_wellbeing
WHY_EUROPE,matrix_32_raw_0_1,EFA1,Influencer,8,5,4,50,80,44.44444444444444,det_22_peer_pressure; det_24_socialising; det_28_recognition; det_31_approval
WHY_EUROPE,matrix_32_raw_0_1,EFA2,Careful,8,12,4,50,33.333333333333336,25,det_06_climate_protection; det_11_knowledge; det_14_environmental_concerns; det_16_commitment
WHY_EUROPE,matrix_32_raw_0_1,EFA3,Fearful,8,9,4,50,44.44444444444444,30.76923076923077,det_03_risk_profile; det_07_legal; det_10_cost_efficiency; det_13_technical_fit
WHY_EUROPE,matrix_32_raw_0_1,EFA4,Homo.Economicus,11,9,4,36.36363636363637,44.44444444444444,25,det_01_profits; det_10_cost_efficiency; det_13_technical_fit; det_15_self_satisfaction
WHY_EUROPE,matrix_32_raw_0_1,EFA5,Careful,12,12,6,50,50,33.333333333333336,det_03_risk_profile; det_09_safety; det_10_cost_efficiency; det_16_commitment; det_17_adherence; det_19_wellbeing
WHY_EUROPE,matrix_32_raw_0_1,EFA6,Activist,8,6,4,50,66.66666666666667,40,det_13_technical_fit; det_15_self_satisfaction; det_16_commitment; det_17_adherence
WHY_EUROPE,matrix_32_pos_0_1,EFA1,Influencer,8,5,4,50,80,44.44444444444444,det_22_peer_pressure; det_24_socialising; det_28_recognition; det_31_approval
WHY_EUROPE,matrix_32_pos_0_1,EFA2,Careful,13,12,8,61.53846153846154,66.66666666666667,47.05882352941177,det_02_credit_score; det_03_risk_profile; det_08_trust; det_10_cost_efficiency; det_11_knowledge; det_12_own_competence; det_16_commitment; det_17_adherence
WHY_EUROPE,matrix_32_pos_0_1,EFA3,Careful,8,12,5,62.5,41.666666666666664,33.333333333333336,det_06_climate_protection; det_11_knowledge; det_14_environmental_concerns; det_16_commitment; det_17_adherence
WHY_EUROPE,matrix_32_pos_0_1,EFA4,Fearful,10,9,4,40,44.44444444444444,26.666666666666668,det_03_risk_profile; det_07_legal; det_10_cost_efficiency; det_13_technical_fit
WHY_EUROPE,matrix_32_pos_0_1,EFA5,Careful,10,12,7,70,58.333333333333336,46.666666666666664,det_03_risk_profile; det_08_trust; det_10_cost_efficiency; det_11_knowledge; det_12_own_competence; det_14_environmental_concerns; det_17_adherence
WHY_EUROPE,matrix_32_pos_0_1,EFA6,Fearful,11,9,6,54.54545454545455,66.66666666666667,42.857142857142854,det_02_credit_score; det_03_risk_profile; det_09_safety; det_10_cost_efficiency; det_13_technical_fit; det_19_wellbeing
WHY_EUROPE,matrix_32_ext_0_1,EFA1,Influencer,8,5,4,50,80,44.44444444444444,det_22_peer_pressure; det_24_socialising; det_28_recognition; det_31_approval
WHY_EUROPE,matrix_32_ext_0_1,EFA2,Fearful,14,9,8,57.142857142857146,88.88888888888889,53.333333333333336,det_03_risk_profile; det_07_legal; det_08_trust; det_09_safety; det_10_cost_efficiency; det_11_knowledge; det_13_technical_fit; det_19_wellbeing
WHY_EUROPE,matrix_32_ext_0_1,EFA3,Careful,9,12,7,77.77777777777777,58.333333333333336,50,det_02_credit_score; det_03_risk_profile; det_08_trust; det_10_cost_efficiency; det_11_knowledge; det_16_commitment; det_17_adherence
WHY_EUROPE,matrix_32_ext_0_1,EFA4,Homo.Economicus,8,9,2,25,22.22222222222222,13.333333333333334,det_01_profits; det_04_added_value
WHY_EUROPE,matrix_32_ext_0_1,EFA5,Influencer,13,5,5,38.46153846153846,100,38.46153846153846,det_11_knowledge; det_22_peer_pressure; det_24_socialising; det_28_recognition; det_31_approval
WHY_EUROPE,matrix_32_ext_0_1,EFA6,Fearful,8,9,4,50,44.44444444444444,30.76923076923077,det_03_risk_profile; det_07_legal; det_08_trust; det_10_cost_efficiency
WHY_EUROPE,matrix_32_z_abs,EFA1,Influencer,8,5,3,37.5,60,30,det_24_socialising; det_28_recognition; det_31_approval
WHY_EUROPE,matrix_32_z_abs,EFA2,Uninterested,9,6,3,33.333333333333336,50,25,det_19_wellbeing; det_20_coziness; det_30_authority
WHY_EUROPE,matrix_32_z_abs,EFA3,Activist,8,6,4,50,66.66666666666667,40,det_13_technical_fit; det_15_self_satisfaction; det_16_commitment; det_17_adherence
