bootstrap_id,variable,category,n,total_n,prop
25,self_classification_archetype_model,Activist,70,626,0.11182108626198083
25,self_classification_archetype_model,Careful,206,626,0.329073482428115
25,self_classification_archetype_model,Early adopter,8,626,0.012779552715654952
25,self_classification_archetype_model,Fearful,74,626,0.1182108626198083
25,self_classification_archetype_model,Homo economicus,173,626,0.2763578274760383
25,self_classification_archetype_model,Influencer,28,626,0.04472843450479233
25,self_classification_archetype_model,None,12,626,0.019169329073482427
25,self_classification_archetype_model,Stubborn,42,626,0.0670926517571885
25,self_classification_archetype_model,Uninterested,13,626,0.020766773162939296
26,self_classification_archetype_model,Activist,60,619,0.09693053311793215
26,self_classification_archetype_model,Careful,196,619,0.3166397415185784
26,self_classification_archetype_model,Early adopter,8,619,0.012924071082390954
26,self_classification_archetype_model,Fearful,80,619,0.12924071082390953
26,self_classification_archetype_model,Homo economicus,167,619,0.26978998384491115
26,self_classification_archetype_model,Influencer,38,619,0.061389337641357025
26,self_classification_archetype_model,None,8,619,0.012924071082390954
26,self_classification_archetype_model,Stubborn,45,619,0.07269789983844911
26,self_classification_archetype_model,Uninterested,17,619,0.027463651050080775
27,self_classification_archetype_model,Activist,70,612,0.11437908496732026
27,self_classification_archetype_model,Careful,165,612,0.2696078431372549
27,self_classification_archetype_model,Early adopter,6,612,0.00980392156862745
27,self_classification_archetype_model,Fearful,98,612,0.16013071895424835
27,self_classification_archetype_model,Homo economicus,173,612,0.2826797385620915
27,self_classification_archetype_model,Influencer,21,612,0.03431372549019608
27,self_classification_archetype_model,None,23,612,0.03758169934640523
27,self_classification_archetype_model,Stubborn,45,612,0.07352941176470588
27,self_classification_archetype_model,Uninterested,11,612,0.017973856209150325
28,self_classification_archetype_model,Activist,79,605,0.1305785123966942
28,self_classification_archetype_model,Careful,160,605,0.2644628099173554
28,self_classification_archetype_model,Early adopter,9,605,0.01487603305785124
28,self_classification_archetype_model,Fearful,90,605,0.1487603305785124
28,self_classification_archetype_model,Homo economicus,171,605,0.28264462809917357
28,self_classification_archetype_model,Influencer,23,605,0.03801652892561983
28,self_classification_archetype_model,None,15,605,0.024793388429752067
28,self_classification_archetype_model,Stubborn,46,605,0.07603305785123966
28,self_classification_archetype_model,Uninterested,12,605,0.019834710743801654
29,self_classification_archetype_model,Activist,66,619,0.10662358642972536
29,self_classification_archetype_model,Careful,202,619,0.3263327948303716
29,self_classification_archetype_model,Early adopter,12,619,0.01938610662358643
29,self_classification_archetype_model,Fearful,83,619,0.13408723747980614
29,self_classification_archetype_model,Homo economicus,166,619,0.2681744749596123
29,self_classification_archetype_model,Influencer,34,619,0.05492730210016155
29,self_classification_archetype_model,None,11,619,0.017770597738287562
29,self_classification_archetype_model,Stubborn,35,619,0.05654281098546042
29,self_classification_archetype_model,Uninterested,10,619,0.01615508885298869
30,self_classification_archetype_model,Activist,63,615,0.1024390243902439
30,self_classification_archetype_model,Careful,186,615,0.3024390243902439
30,self_classification_archetype_model,Early adopter,7,615,0.011382113821138212
30,self_classification_archetype_model,Fearful,85,615,0.13821138211382114
30,self_classification_archetype_model,Homo economicus,174,615,0.28292682926829266
30,self_classification_archetype_model,Influencer,26,615,0.04227642276422764
30,self_classification_archetype_model,None,14,615,0.022764227642276424
30,self_classification_archetype_model,Stubborn,48,615,0.07804878048780488
30,self_classification_archetype_model,Uninterested,12,615,0.01951219512195122
31,self_classification_archetype_model,Activist,67,641,0.10452418096723869
