n_participants,boot_id,macro_archetype_5,adoption_stage,n_rows,percentage_within_macro
2000,5,G1_Activist_Stubborn_Sentient,Done,448,35.55555555555556
2000,5,G2_EarlyAdopter_Influencer,Knowledge,319,14.546283629730963
2000,5,G2_EarlyAdopter_Influencer,Considering,749,34.15412676698587
2000,5,G2_EarlyAdopter_Influencer,Done,1125,51.29958960328317
2000,5,G3_Fearful_Careful,Knowledge,662,45.40466392318244
2000,5,G3_Fearful_Careful,Considering,573,39.300411522633745
2000,5,G3_Fearful_Careful,Done,223,15.294924554183813
2000,5,G4_HomoEconomicus,Knowledge,194,32.33333333333333
2000,5,G4_HomoEconomicus,Considering,269,44.83333333333333
2000,5,G4_HomoEconomicus,Done,137,22.833333333333332
2000,5,G5_Uninterested,Knowledge,331,67.68916155419224
2000,5,G5_Uninterested,Considering,110,22.494887525562373
2000,5,G5_Uninterested,Done,48,9.815950920245399
