bootstrap_id,comparison_region,n_draws,prop_complete
173,LATAM,608,0.3781094527363184
174,EUROPE,1000,0.6218905472636815
174,LATAM,608,0.3781094527363184
175,EUROPE,1000,0.6218905472636815
175,LATAM,608,0.3781094527363184
176,EUROPE,1000,0.6218905472636815
176,LATAM,608,0.3781094527363184
177,EUROPE,1000,0.6218905472636815
177,LATAM,608,0.3781094527363184
178,EUROPE,1000,0.6218905472636815
178,LATAM,608,0.3781094527363184
179,EUROPE,1000,0.6218905472636815
179,LATAM,608,0.3781094527363184
180,EUROPE,1000,0.6218905472636815
180,LATAM,608,0.3781094527363184
181,EUROPE,1000,0.6218905472636815
181,LATAM,608,0.3781094527363184
182,EUROPE,1000,0.6218905472636815
182,LATAM,608,0.3781094527363184
183,EUROPE,1000,0.6218905472636815
183,LATAM,608,0.3781094527363184
184,EUROPE,1000,0.6218905472636815
184,LATAM,608,0.3781094527363184
185,EUROPE,1000,0.6218905472636815
185,LATAM,608,0.3781094527363184
186,EUROPE,1000,0.6218905472636815
186,LATAM,608,0.3781094527363184
187,EUROPE,1000,0.6218905472636815
187,LATAM,608,0.3781094527363184
188,EUROPE,1000,0.6218905472636815
188,LATAM,608,0.3781094527363184
189,EUROPE,1000,0.6218905472636815
189,LATAM,608,0.3781094527363184
190,EUROPE,1000,0.6218905472636815
190,LATAM,608,0.3781094527363184
191,EUROPE,1000,0.6218905472636815
191,LATAM,608,0.3781094527363184
192,EUROPE,1000,0.6218905472636815
192,LATAM,608,0.3781094527363184
193,EUROPE,1000,0.6218905472636815
193,LATAM,608,0.3781094527363184
194,EUROPE,1000,0.6218905472636815
194,LATAM,608,0.3781094527363184
195,EUROPE,1000,0.6218905472636815
195,LATAM,608,0.3781094527363184
196,EUROPE,1000,0.6218905472636815
196,LATAM,608,0.3781094527363184
197,EUROPE,1000,0.6218905472636815
197,LATAM,608,0.3781094527363184
198,EUROPE,1000,0.6218905472636815
198,LATAM,608,0.3781094527363184
199,EUROPE,1000,0.6218905472636815
199,LATAM,608,0.3781094527363184
200,EUROPE,1000,0.6218905472636815
200,LATAM,608,0.3781094527363184
201,EUROPE,1000,0.6218905472636815
201,LATAM,608,0.3781094527363184
202,EUROPE,1000,0.6218905472636815
202,LATAM,608,0.3781094527363184
203,EUROPE,1000,0.6218905472636815
203,LATAM,608,0.3781094527363184
204,EUROPE,1000,0.6218905472636815
204,LATAM,608,0.3781094527363184
205,EUROPE,1000,0.6218905472636815
205,LATAM,608,0.3781094527363184
206,EUROPE,1000,0.6218905472636815
206,LATAM,608,0.3781094527363184
207,EUROPE,1000,0.6218905472636815
207,LATAM,608,0.3781094527363184
