participant_id,year_of_birth,age,age_group,gender,country,residence_region,city_size,climate_zone,employment,education_group,work_home,type_house,tenure,political_orientation,vote_type,source_survey,identifier_type,row_quality
PROLIFIC_6a229976e46891722ff3f05f,1997,29,Millennials,Mujer,Finlandia,Europa del Norte,Ciudad mediana (250.000-500.000 hab.),Clima frío/polar,Otra situación laboral,Universitaria,Sí,Pareja sin hijos,Alquiler,Extrema izquierda,Otras opciones,decision,prolific,usable
PROLIFIC_69eca1e06533d42ff1306a24,1998,28,Millennials,Mujer,Francia,Europa Occidental,Municipio mediano (10.000-50.000 hab.),Clima templado,Empleado/a,No universitaria,Sí,Pareja sin hijos,Propiedad sin hipoteca,Centro,Voto variable según candidato/programa,decision,prolific,usable
22,2004,22,Generación Z,Mujer,República Checa,Europa del Este,Aldea o núcleo rural (<1.000 hab.),Clima templado,Empleado/a,No universitaria,Sí,Hogar con hijos,Propiedad con hipoteca,Centro,Partidos regionalistas/independentistas,decision,sin_identificador,usable
PROLIFIC_69d763affd0080c0bffcd367,1973,53,Generación X,Mujer,Bélgica,Europa Occidental,Municipio mediano (10.000-50.000 hab.),Clima templado,Empleado/a,Universitaria,Sí,Hogar con hijos,Propiedad con hipoteca,Centro,Voto variable según candidato/programa,decision,prolific,usable
PROLIFIC_6103a3ece71ab061d5624402,2001,25,Generación Z,Mujer,Letonia,Europa del Norte,Municipio pequeño (1.000-10.000 hab.),Clima templado,Empleado/a,Universitaria,Sí,Hogar con hijos,Propiedad sin hipoteca,Centro,Voto variable según candidato/programa,decision,prolific,attention_check_fallido
PROLIFIC_69e213021f9224d147d5908b,1983,43,Generación X,Mujer,Finlandia,Europa del Norte,Ciudad mediana (250.000-500.000 hab.),Clima frío/polar,Empleado/a,Universitaria,Sí,Hogar con hijos,Propiedad con hipoteca,Derecha,Voto variable según candidato/programa,decision,prolific,usable
PROLIFIC_672b6f50809e58bcc13a57b4,1986,40,Millennials,Mujer,Eslovenia,Europa del Sur,Municipio mediano (10.000-50.000 hab.),Clima templado,NA,Universitaria,No,Hogar con hijos,Propiedad con hipoteca,Centro,Voto variable según candidato/programa,decision,prolific,usable
PROLIFIC_699776549800aa3b0399d642,1999,27,Millennials,Mujer,Polonia,Europa del Este,Ciudad mediana (250.000-500.000 hab.),Clima templado,Empleado/a,Universitaria,Sí,Pareja sin hijos,Alquiler,Extrema izquierda,Partidos nacionales,decision,prolific,attention_check_fallido
PROLIFIC_6a229862a12b21ee07229d8a,NA,NA,NA,Hombre,Bulgaria,Europa del Este,Metrópolis (>1.000.000 hab.),Clima templado,Empleado/a,No universitaria,No,Hogar con hijos,Propiedad sin hipoteca,Extrema derecha,Voto variable según candidato/programa,decision,prolific,usable
PROLIFIC_66045ed49119e654e5454985,1994,32,Millennials,Otro / Prefiere no decirlo,Grecia,Europa del Sur,Ciudad grande (500.000-1.000.000 hab.),Clima cálido/mediterráneo,Empleado/a,Universitaria,Sí,Vive solo/a,Propiedad sin hipoteca,Extrema izquierda,No vota / blanco / nulo,decision,prolific,usable
