characteristic,Total,Cuidadoso/a,Activista,Temeroso/a,Homo economicus,Sensible,Influyente,Desinteresado/a,Pionero
  Otro régimen,14 (3.5%),2 (2.5%),2 (2.9%),2 (2.9%),4 (6.7%),3 (5.6%),0 (0.0%),0 (0.0%),1 (100.0%)
  Propiedad con hipoteca,109 (27.5%),19 (24.1%),26 (37.1%),15 (22.1%),17 (28.3%),15 (27.8%),8 (22.9%),2 (22.2%),0 (0.0%)
  Propiedad sin hipoteca,185 (46.7%),26 (32.9%),31 (44.3%),31 (45.6%),20 (33.3%),35 (64.8%),24 (68.6%),6 (66.7%),0 (0.0%)
  Alquiler,88 (22.2%),32 (40.5%),11 (15.7%),20 (29.4%),19 (31.7%),1 (1.9%),3 (8.6%),1 (11.1%),0 (0.0%)
  Otro régimen,14 (3.5%),2 (2.5%),2 (2.9%),2 (2.9%),4 (6.7%),3 (5.6%),0 (0.0%),0 (0.0%),1 (100.0%)
  Propiedad con hipoteca,109 (27.5%),19 (24.1%),26 (37.1%),15 (22.1%),17 (28.3%),15 (27.8%),8 (22.9%),2 (22.2%),0 (0.0%)
  Propiedad sin hipoteca,185 (46.7%),26 (32.9%),31 (44.3%),31 (45.6%),20 (33.3%),35 (64.8%),24 (68.6%),6 (66.7%),0 (0.0%)
Zona climática,,,,,,,,,
  Clima cálido/mediterráneo,160 (39.7%),19 (23.2%),24 (33.8%),40 (58.8%),12 (20.0%),22 (40.0%),28 (80.0%),2 (22.2%),0 (0.0%)
  Clima frío/polar,17 (4.2%),6 (7.3%),2 (2.8%),4 (5.9%),1 (1.7%),2 (3.6%),1 (2.9%),1 (11.1%),0 (0.0%)
  Clima templado,226 (56.1%),57 (69.5%),45 (63.4%),24 (35.3%),47 (78.3%),31 (56.4%),6 (17.1%),6 (66.7%),1 (100.0%)
  Otro clima,0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%)
  Clima cálido/mediterráneo,160 (39.7%),19 (23.2%),24 (33.8%),40 (58.8%),12 (20.0%),22 (40.0%),28 (80.0%),2 (22.2%),0 (0.0%)
  Clima frío/polar,17 (4.2%),6 (7.3%),2 (2.8%),4 (5.9%),1 (1.7%),2 (3.6%),1 (2.9%),1 (11.1%),0 (0.0%)
  Clima templado,226 (56.1%),57 (69.5%),45 (63.4%),24 (35.3%),47 (78.3%),31 (56.4%),6 (17.1%),6 (66.7%),1 (100.0%)
  Otro clima,0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%)
  Clima cálido/mediterráneo,160 (39.7%),19 (23.2%),24 (33.8%),40 (58.8%),12 (20.0%),22 (40.0%),28 (80.0%),2 (22.2%),0 (0.0%)
  Clima frío/polar,17 (4.2%),6 (7.3%),2 (2.8%),4 (5.9%),1 (1.7%),2 (3.6%),1 (2.9%),1 (11.1%),0 (0.0%)
  Clima templado,226 (56.1%),57 (69.5%),45 (63.4%),24 (35.3%),47 (78.3%),31 (56.4%),6 (17.1%),6 (66.7%),1 (100.0%)
  Otro clima,0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%)
  Clima cálido/mediterráneo,160 (39.7%),19 (23.2%),24 (33.8%),40 (58.8%),12 (20.0%),22 (40.0%),28 (80.0%),2 (22.2%),0 (0.0%)
  Clima frío/polar,17 (4.2%),6 (7.3%),2 (2.8%),4 (5.9%),1 (1.7%),2 (3.6%),1 (2.9%),1 (11.1%),0 (0.0%)
