sample_label,n_participants,boot_id,model_type,formula,status,error_message,warnings,n_rows,n_unique_participants,AIC,BIC,logLik,n_terms_with_p,n_significant_terms
bootstrap,2000,1,M0,adoption_stage ~ macro_archetype_5 + (1 | participant_id),ok,NA,,6000,2000,12086.861805556491,12133.758408793963,-6036.430902778246,6,6
bootstrap,2000,1,M1,adoption_stage ~ macro_archetype_5 + z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING + (1 | participant_id),ok,NA,,6000,2000,7209.004196210957,7316.19643218232,-3588.5020981054786,15,14
bootstrap,2000,1,M2,adoption_stage ~ macro_archetype_5 * (z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING) + (1 | participant_id),ok,NA,,6000,2000,5656.354347020379,6004.729113927308,-2776.1771735101893,51,38
bootstrap,2000,2,M0,adoption_stage ~ macro_archetype_5 + (1 | participant_id),ok,NA,,6000,2000,12102.134109461449,12149.030712698921,-6044.0670547307245,6,6
bootstrap,2000,2,M1,adoption_stage ~ macro_archetype_5 + z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING + (1 | participant_id),ok,NA,,6000,2000,7261.128093546669,7368.320329518032,-3614.5640467733347,15,15
bootstrap,2000,2,M2,adoption_stage ~ macro_archetype_5 * (z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING) + (1 | participant_id),ok,NA,,6000,2000,5677.265797627368,6025.6405645342975,-2786.632898813684,51,39
bootstrap,2000,3,M0,adoption_stage ~ macro_archetype_5 + (1 | participant_id),ok,NA,"(-1) Model failed to converge with max|grad| = 1.25979e-06 (tol = 1e-06) 
In addition: step factor reduced below minimum",6000,2000,12118.40496711482,12165.301570352292,-6052.20248355741,6,6
bootstrap,2000,3,M1,adoption_stage ~ macro_archetype_5 + z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING + (1 | participant_id),ok,NA,,6000,2000,7264.545899284964,7371.738135256328,-3616.272949642482,15,14
bootstrap,2000,3,M2,adoption_stage ~ macro_archetype_5 * (z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING) + (1 | participant_id),ok,NA,,6000,2000,5746.313634523074,6094.688401430004,-2821.156817261537,51,36
bootstrap,2000,4,M0,adoption_stage ~ macro_archetype_5 + (1 | participant_id),ok,NA,,6000,2000,12151.80693897009,12198.703542207562,-6068.903469485045,0,0
bootstrap,2000,4,M1,adoption_stage ~ macro_archetype_5 + z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING + (1 | participant_id),ok,NA,,6000,2000,7387.901359627028,7495.093595598391,-3677.950679813514,15,14
bootstrap,2000,4,M2,adoption_stage ~ macro_archetype_5 * (z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING) + (1 | participant_id),ok,NA,,6000,2000,5784.893759191656,6133.268526098585,-2840.446879595828,51,38
bootstrap,2000,5,M0,adoption_stage ~ macro_archetype_5 + (1 | participant_id),ok,NA,,6000,2000,12111.86549682473,12158.762100062202,-6048.932748412365,6,6
bootstrap,2000,5,M1,adoption_stage ~ macro_archetype_5 + z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING + (1 | participant_id),ok,NA,,6000,2000,7209.572477506063,7316.764713477425,-3588.7862387530313,15,14
bootstrap,2000,5,M2,adoption_stage ~ macro_archetype_5 * (z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING) + (1 | participant_id),ok,NA,,6000,2000,5712.789801882113,6061.164568789043,-2804.3949009410567,51,38
