bootstrap_id,target_sample_type,row_quality_final,n,prop_within_type
54,abstention,usable_partial_limited_metadata,3,0.005928853754940711
54,voter,usable_complete,314,0.6356275303643725
54,voter,usable_complete_limited_metadata,13,0.02631578947368421
54,voter,usable_partial,166,0.3360323886639676
54,voter,usable_partial_limited_metadata,1,0.0020242914979757085
55,abstention,usable_complete,426,0.841897233201581
55,abstention,usable_complete_limited_metadata,17,0.03359683794466403
55,abstention,usable_partial,58,0.11462450592885376
55,abstention,usable_partial_limited_metadata,5,0.009881422924901186
55,voter,usable_complete,316,0.6396761133603239
55,voter,usable_complete_limited_metadata,10,0.020242914979757085
55,voter,usable_partial,167,0.33805668016194335
55,voter,usable_partial_limited_metadata,1,0.0020242914979757085
56,abstention,usable_complete,422,0.83399209486166
56,abstention,usable_complete_limited_metadata,27,0.0533596837944664
56,abstention,usable_partial,55,0.10869565217391304
56,abstention,usable_partial_limited_metadata,2,0.003952569169960474
56,voter,usable_complete,324,0.6558704453441295
56,voter,usable_complete_limited_metadata,10,0.020242914979757085
56,voter,usable_partial,158,0.31983805668016196
56,voter,usable_partial_limited_metadata,2,0.004048582995951417
57,abstention,usable_complete,425,0.8399209486166008
57,abstention,usable_complete_limited_metadata,21,0.041501976284584984
57,abstention,usable_partial,59,0.116600790513834
57,abstention,usable_partial_limited_metadata,1,0.001976284584980237
57,voter,usable_complete,295,0.597165991902834
57,voter,usable_complete_limited_metadata,9,0.018218623481781375
57,voter,usable_partial,190,0.38461538461538464
58,abstention,usable_complete,424,0.8379446640316206
58,abstention,usable_complete_limited_metadata,24,0.04743083003952569
58,abstention,usable_partial,56,0.11067193675889328
58,abstention,usable_partial_limited_metadata,2,0.003952569169960474
58,voter,usable_complete,305,0.6174089068825911
58,voter,usable_complete_limited_metadata,10,0.020242914979757085
58,voter,usable_partial,178,0.3603238866396761
58,voter,usable_partial_limited_metadata,1,0.0020242914979757085
59,abstention,usable_complete,430,0.849802371541502
59,abstention,usable_complete_limited_metadata,20,0.039525691699604744
59,abstention,usable_partial,52,0.10276679841897234
59,abstention,usable_partial_limited_metadata,4,0.007905138339920948
59,voter,usable_complete,319,0.64574898785425106
59,voter,usable_complete_limited_metadata,11,0.022267206477732792
59,voter,usable_partial,161,0.3259109311740891
59,voter,usable_partial_limited_metadata,3,0.006072874493927126
60,abstention,usable_complete,438,0.8656126482213439
60,abstention,usable_complete_limited_metadata,13,0.025691699604743084
60,abstention,usable_partial,51,0.1007905138339921
60,abstention,usable_partial_limited_metadata,4,0.007905138339920948
60,voter,usable_complete,305,0.6174089068825911
60,voter,usable_complete_limited_metadata,8,0.016194331983805668
60,voter,usable_partial,180,0.3643724696356275
60,voter,usable_partial_limited_metadata,1,0.0020242914979757085
61,abstention,usable_complete,432,0.8537549407114624
61,abstention,usable_complete_limited_metadata,22,0.043478260869565216
61,abstention,usable_partial,48,0.09486166007905138
61,abstention,usable_partial_limited_metadata,4,0.007905138339920948
61,voter,usable_complete,318,0.6437246963562753
61,voter,usable_complete_limited_metadata,6,0.012145748987854251
61,voter,usable_partial,170,0.3441295546558704
62,abstention,usable_complete,433,0.8557312252964426
62,abstention,usable_complete_limited_metadata,22,0.043478260869565216
62,abstention,usable_partial,49,0.09683794466403162
62,abstention,usable_partial_limited_metadata,2,0.003952569169960474
62,voter,usable_complete,321,0.6497975708502024
62,voter,usable_complete_limited_metadata,6,0.012145748987854251
62,voter,usable_partial,166,0.3360323886639676
62,voter,usable_partial_limited_metadata,1,0.0020242914979757085
63,abstention,usable_complete,443,0.8754940711462451
63,abstention,usable_complete_limited_metadata,14,0.02766798418972332
63,abstention,usable_partial,47,0.09288537549407115
63,abstention,usable_partial_limited_metadata,2,0.003952569169960474
63,voter,usable_complete,317,0.6417004048582996
63,voter,usable_complete_limited_metadata,10,0.020242914979757085
63,voter,usable_partial,167,0.33805668016194335
64,abstention,usable_complete,427,0.8438735177865613
64,abstention,usable_complete_limited_metadata,27,0.0533596837944664
64,abstention,usable_partial,51,0.1007905138339921
64,abstention,usable_partial_limited_metadata,1,0.001976284584980237
64,voter,usable_complete,324,0.6558704453441295
64,voter,usable_complete_limited_metadata,6,0.012145748987854251
64,voter,usable_partial,163,0.3299595141700405
64,voter,usable_partial_limited_metadata,1,0.0020242914979757085
65,abstention,usable_complete,433,0.8557312252964426
65,abstention,usable_complete_limited_metadata,23,0.045454545454545456
65,abstention,usable_partial,46,0.09090909090909091
65,abstention,usable_partial_limited_metadata,4,0.007905138339920948
65,voter,usable_complete,309,0.6255060728744939
65,voter,usable_complete_limited_metadata,7,0.01417004048582996
65,voter,usable_partial,178,0.3603238866396761
66,abstention,usable_complete,442,0.8735177865612648
66,abstention,usable_complete_limited_metadata,19,0.037549407114624504
66,abstention,usable_partial,42,0.08300395256916997
66,abstention,usable_partial_limited_metadata,3,0.005928853754940711
66,voter,usable_complete,320,0.6477732793522267
66,voter,usable_complete_limited_metadata,13,0.02631578947368421
66,voter,usable_partial,159,0.32186234817813764
66,voter,usable_partial_limited_metadata,2,0.004048582995951417
67,abstention,usable_complete,438,0.8656126482213439
67,abstention,usable_complete_limited_metadata,22,0.043478260869565216
67,abstention,usable_partial,41,0.08102766798418973
67,abstention,usable_partial_limited_metadata,5,0.009881422924901186
67,voter,usable_complete,315,0.6376518218623481
67,voter,usable_complete_limited_metadata,11,0.022267206477732792
67,voter,usable_partial,168,0.340080971659919
68,abstention,usable_complete,436,0.8616600790513834
68,abstention,usable_complete_limited_metadata,21,0.041501976284584984
68,abstention,usable_partial,47,0.09288537549407115
68,abstention,usable_partial_limited_metadata,2,0.003952569169960474
68,voter,usable_complete,321,0.6497975708502024
68,voter,usable_complete_limited_metadata,10,0.020242914979757085
68,voter,usable_partial,163,0.3299595141700405
69,abstention,usable_complete,442,0.8735177865612648
69,abstention,usable_complete_limited_metadata,17,0.03359683794466403
69,abstention,usable_partial,42,0.08300395256916997
69,abstention,usable_partial_limited_metadata,5,0.009881422924901186
69,voter,usable_complete,325,0.6578947368421053
69,voter,usable_complete_limited_metadata,4,0.008097165991902834
69,voter,usable_partial,165,0.3340080971659919
70,abstention,usable_complete,427,0.8438735177865613
70,abstention,usable_complete_limited_metadata,22,0.043478260869565216
70,abstention,usable_partial,54,0.1067193675889328
70,abstention,usable_partial_limited_metadata,3,0.005928853754940711
70,voter,usable_complete,317,0.6417004048582996
70,voter,usable_complete_limited_metadata,11,0.022267206477732792
70,voter,usable_partial,164,0.3319838056680162
70,voter,usable_partial_limited_metadata,2,0.004048582995951417
71,abstention,usable_complete,450,0.8893280632411067
71,abstention,usable_complete_limited_metadata,14,0.02766798418972332
71,abstention,usable_partial,40,0.07905138339920949
71,abstention,usable_partial_limited_metadata,2,0.003952569169960474
71,voter,usable_complete,307,0.6214574898785425
71,voter,usable_complete_limited_metadata,7,0.01417004048582996
71,voter,usable_partial,180,0.3643724696356275
72,abstention,usable_complete,434,0.857707509881423
72,abstention,usable_complete_limited_metadata,20,0.039525691699604744
