analysis_sample,matrix_name,bootstrap_id,n_factors,status,n_bootstrap_draws,n_rows_used,n_rows_dropped,n_unique_participants,n_variable_features,n_constant_features,RMSR,TLI,RMSEA,BIC,mean_abs_factor_correlation,var_abs_factor_correlation,mean_factor_distance,var_factor_distance,warning_flag,warning_message,error_message
COMPLETE,matrix_32_raw_0_1,4,3,ok,1608,1608,0,1005,32,0,0.031646617025175315,0.7625722882428045,0.05993722200111,-243.9888854796095,0.09703407449994113,0.0011246998889593313,0.9029659255000589,0.0011246998889593313,FALSE,NA,NA
COMPLETE,matrix_32_raw_0_1,4,4,ok,1608,1608,0,1005,32,0,0.026839020243155803,0.7983481699342599,0.05522468245856965,-552.8098351647718,0.11687134188620854,0.0013200571535813617,0.8831286581137915,0.0013200571535813615,FALSE,NA,NA
COMPLETE,matrix_32_raw_0_1,4,5,ok,1608,1608,0,1005,32,0,0.020955248061073514,0.8567174396580577,0.04653962995550048,-1003.1568397531555,0.14004747507886095,0.013553172431034691,0.859952524921139,0.013553172431034698,FALSE,NA,NA
COMPLETE,matrix_32_raw_0_1,4,6,ok,1608,1608,0,1005,32,0,0.01790203773130163,0.8884738624828751,0.0410495912257424,-1171.5381281242283,0.1700501871363353,0.01428133858667902,0.8299498128636646,0.014281338586679017,FALSE,NA,NA
COMPLETE,matrix_32_raw_0_1,4,7,ok,1608,1608,0,1005,32,0,0.015865808652820886,0.905862688118292,0.03770486929275004,-1200.1571375147053,0.17446396905715805,0.015047686311169688,0.8255360309428419,0.015047686311169688,FALSE,NA,NA
COMPLETE,matrix_32_raw_0_1,4,8,ok,1608,1608,0,1005,32,0,0.014247370404063998,0.9158965251884729,0.035630479394508814,-1163.3124842185398,0.1638851869475064,0.015246145759621079,0.8361148130524936,0.015246145759621084,FALSE,NA,NA
COMPLETE,matrix_32_raw_0_1,5,2,ok,1608,1608,0,994,32,0,0.048010646686285526,0.6053302590937523,0.07676171758773427,1339.1792725810933,0.01542045261406568,NA,0.9845795473859343,NA,FALSE,NA,NA
COMPLETE,matrix_32_raw_0_1,5,3,ok,1608,1608,0,994,32,0,0.033232363883298324,0.7306507944370942,0.06339928517809153,32.71657185505319,0.11265116652284214,0.010732704284163338,0.8873488334771579,0.01073270428416334,FALSE,NA,NA
COMPLETE,matrix_32_raw_0_1,5,4,ok,1608,1608,0,994,32,0,0.02872699517338394,0.7659586703276543,0.05908469151951099,-287.45450415594405,0.13502211423317445,0.005753320217469612,0.8649778857668255,0.005753320217469613,FALSE,NA,NA
COMPLETE,matrix_32_raw_0_1,5,5,ok,1608,1608,0,994,32,0,0.023629116352027513,0.8195108929263053,0.0518743110425614,-711.0597508824374,0.15438458958483078,0.014371778889189613,0.8456154104151692,0.014371778889189609,FALSE,NA,NA
COMPLETE,matrix_32_raw_0_1,5,6,ok,1608,1608,0,994,32,0,0.01987331528225376,0.858640003997457,0.04589725456504059,-955.3344837157003,0.16665848538576405,0.01465790480982716,0.833341514614236,0.01465790480982716,FALSE,NA,NA
COMPLETE,matrix_32_raw_0_1,5,7,ok,1608,1608,0,994,32,0,0.017298009825705965,0.87814406962964,0.04260353133220946,-1014.8073382784985,0.16192066805569824,0.015960119789131828,0.8380793319443017,0.015960119789131828,FALSE,NA,NA
COMPLETE,matrix_32_raw_0_1,5,8,ok,1608,1608,0,994,32,0,0.015232163011380811,0.8963317035102103,0.03928640410913247,-1045.2810226440852,0.161910621702805,0.01568158193831038,0.838089378297195,0.01568158193831038,FALSE,NA,NA
COMPLETE,matrix_32_raw_0_1,6,2,ok,1608,1608,0,1036,32,0,0.047393704093650076,0.6341873003959805,0.07378608157791425,1027.2700921937262,0.04728775852281929,NA,0.9527122414771807,NA,FALSE,NA,NA
COMPLETE,matrix_32_raw_0_1,6,3,ok,1608,1608,0,1036,32,0,0.030413595500493544,0.7779590612685372,0.05747208546672401,-431.5464545076816,0.09364742824025472,0.0018262149204174734,0.9063525717597453,0.0018262149204174725,FALSE,NA,NA
