bootstrap_id,target_sample_type,dataset_source,n,prop_within_type
110,abstention,diego,231,0.45652173913043476
110,abstention,rv,148,0.2924901185770751
110,abstention,why,127,0.2509881422924901
110,voter,rv,494,1
111,abstention,diego,222,0.43873517786561267
111,abstention,rv,144,0.2845849802371542
111,abstention,why,140,0.2766798418972332
111,voter,rv,494,1
112,abstention,diego,226,0.44664031620553357
112,abstention,rv,145,0.2865612648221344
112,abstention,why,135,0.26679841897233203
112,voter,rv,494,1
113,abstention,diego,228,0.4505928853754941
113,abstention,rv,150,0.2964426877470356
113,abstention,why,128,0.25296442687747034
113,voter,rv,494,1
114,abstention,diego,235,0.4644268774703557
114,abstention,rv,158,0.31225296442687744
114,abstention,why,113,0.22332015810276679
114,voter,rv,494,1
115,abstention,diego,227,0.44861660079051385
115,abstention,rv,150,0.2964426877470356
115,abstention,why,129,0.2549407114624506
115,voter,rv,494,1
116,abstention,diego,229,0.4525691699604743
116,abstention,rv,156,0.308300395256917
116,abstention,why,121,0.2391304347826087
116,voter,rv,494,1
117,abstention,diego,245,0.4841897233201581
117,abstention,rv,129,0.2549407114624506
117,abstention,why,132,0.2608695652173913
117,voter,rv,494,1
118,abstention,diego,229,0.4525691699604743
118,abstention,rv,143,0.2826086956521739
118,abstention,why,134,0.2648221343873518
118,voter,rv,494,1
119,abstention,diego,236,0.466403162055336
119,abstention,rv,152,0.30039525691699603
119,abstention,why,118,0.233201581027668
119,voter,rv,494,1
120,abstention,diego,217,0.4288537549407115
120,abstention,rv,155,0.30632411067193677
120,abstention,why,134,0.2648221343873518
120,voter,rv,494,1
121,abstention,diego,217,0.4288537549407115
121,abstention,rv,154,0.30434782608695654
121,abstention,why,135,0.26679841897233203
121,voter,rv,494,1
122,abstention,diego,237,0.4683794466403162
122,abstention,rv,142,0.28063241106719367
122,abstention,why,127,0.2509881422924901
122,voter,rv,494,1
123,abstention,diego,230,0.45454545454545453
123,abstention,rv,146,0.2885375494071146
123,abstention,why,130,0.25691699604743085
123,voter,rv,494,1
124,abstention,diego,223,0.4407114624505929
124,abstention,rv,137,0.2707509881422925
124,abstention,why,146,0.2885375494071146
124,voter,rv,494,1
125,abstention,diego,216,0.4268774703557312
125,abstention,rv,138,0.2727272727272727
125,abstention,why,152,0.30039525691699603
125,voter,rv,494,1
126,abstention,diego,227,0.44861660079051385
126,abstention,rv,145,0.2865612648221344
126,abstention,why,134,0.2648221343873518
126,voter,rv,494,1
127,abstention,diego,234,0.4624505928853755
127,abstention,rv,131,0.25889328063241107
127,abstention,why,141,0.27865612648221344
127,voter,rv,494,1
128,abstention,diego,235,0.4644268774703557
128,abstention,rv,123,0.24308300395256918
128,abstention,why,148,0.2924901185770751
128,voter,rv,494,1
129,abstention,diego,238,0.47035573122529645
129,abstention,rv,133,0.2628458498023715
129,abstention,why,135,0.26679841897233203
129,voter,rv,494,1
130,abstention,diego,231,0.45652173913043476
130,abstention,rv,144,0.2845849802371542
130,abstention,why,131,0.25889328063241107
130,voter,rv,494,1
131,abstention,diego,237,0.4683794466403162
131,abstention,rv,149,0.29446640316205536
131,abstention,why,120,0.23715415019762845
131,voter,rv,494,1
132,abstention,diego,227,0.44861660079051385
132,abstention,rv,151,0.2984189723320158
132,abstention,why,128,0.25296442687747034
132,voter,rv,494,1
133,abstention,diego,237,0.4683794466403162
133,abstention,rv,139,0.274703557312253
133,abstention,why,130,0.25691699604743085
133,voter,rv,494,1
134,abstention,diego,227,0.44861660079051385
134,abstention,rv,139,0.274703557312253
134,abstention,why,140,0.2766798418972332
134,voter,rv,494,1
135,abstention,diego,238,0.47035573122529645
135,abstention,rv,133,0.2628458498023715
135,abstention,why,135,0.26679841897233203
135,voter,rv,494,1
136,abstention,diego,233,0.46047430830039526
136,abstention,rv,138,0.2727272727272727
