bootstrap_id,target_sample_type,target_electoral_group,n,prop_bootstrap
126,voter,EPP,122,0.122
126,voter,GREENS_EFA_RENEW,88,0.088
126,voter,GUE_NGL,32,0.032
126,voter,NI,23,0.023
126,voter,PFE_ESN,78,0.078
126,voter,SD,98,0.098
127,abstention,ABSTENTION,506,0.506
127,voter,ECR,53,0.053
127,voter,EPP,122,0.122
127,voter,GREENS_EFA_RENEW,88,0.088
127,voter,GUE_NGL,32,0.032
127,voter,NI,23,0.023
127,voter,PFE_ESN,78,0.078
127,voter,SD,98,0.098
128,abstention,ABSTENTION,506,0.506
128,voter,ECR,53,0.053
128,voter,EPP,122,0.122
128,voter,GREENS_EFA_RENEW,88,0.088
128,voter,GUE_NGL,32,0.032
128,voter,NI,23,0.023
128,voter,PFE_ESN,78,0.078
128,voter,SD,98,0.098
129,abstention,ABSTENTION,506,0.506
129,voter,ECR,53,0.053
129,voter,EPP,122,0.122
129,voter,GREENS_EFA_RENEW,88,0.088
129,voter,GUE_NGL,32,0.032
129,voter,NI,23,0.023
129,voter,PFE_ESN,78,0.078
129,voter,SD,98,0.098
130,abstention,ABSTENTION,506,0.506
130,voter,ECR,53,0.053
130,voter,EPP,122,0.122
130,voter,GREENS_EFA_RENEW,88,0.088
130,voter,GUE_NGL,32,0.032
130,voter,NI,23,0.023
130,voter,PFE_ESN,78,0.078
130,voter,SD,98,0.098
131,abstention,ABSTENTION,506,0.506
131,voter,ECR,53,0.053
131,voter,EPP,122,0.122
131,voter,GREENS_EFA_RENEW,88,0.088
131,voter,GUE_NGL,32,0.032
131,voter,NI,23,0.023
131,voter,PFE_ESN,78,0.078
131,voter,SD,98,0.098
132,abstention,ABSTENTION,506,0.506
132,voter,ECR,53,0.053
132,voter,EPP,122,0.122
132,voter,GREENS_EFA_RENEW,88,0.088
132,voter,GUE_NGL,32,0.032
132,voter,NI,23,0.023
132,voter,PFE_ESN,78,0.078
132,voter,SD,98,0.098
133,abstention,ABSTENTION,506,0.506
133,voter,ECR,53,0.053
133,voter,EPP,122,0.122
133,voter,GREENS_EFA_RENEW,88,0.088
133,voter,GUE_NGL,32,0.032
133,voter,NI,23,0.023
133,voter,PFE_ESN,78,0.078
133,voter,SD,98,0.098
134,abstention,ABSTENTION,506,0.506
134,voter,ECR,53,0.053
134,voter,EPP,122,0.122
134,voter,GREENS_EFA_RENEW,88,0.088
134,voter,GUE_NGL,32,0.032
134,voter,NI,23,0.023
134,voter,PFE_ESN,78,0.078
134,voter,SD,98,0.098
135,abstention,ABSTENTION,506,0.506
135,voter,ECR,53,0.053
135,voter,EPP,122,0.122
135,voter,GREENS_EFA_RENEW,88,0.088
135,voter,GUE_NGL,32,0.032
135,voter,NI,23,0.023
135,voter,PFE_ESN,78,0.078
135,voter,SD,98,0.098
136,abstention,ABSTENTION,506,0.506
136,voter,ECR,53,0.053
136,voter,EPP,122,0.122
136,voter,GREENS_EFA_RENEW,88,0.088
136,voter,GUE_NGL,32,0.032
136,voter,NI,23,0.023
136,voter,PFE_ESN,78,0.078
136,voter,SD,98,0.098
137,abstention,ABSTENTION,506,0.506
137,voter,ECR,53,0.053
137,voter,EPP,122,0.122
137,voter,GREENS_EFA_RENEW,88,0.088
137,voter,GUE_NGL,32,0.032
137,voter,NI,23,0.023
137,voter,PFE_ESN,78,0.078
137,voter,SD,98,0.098
138,abstention,ABSTENTION,506,0.506
138,voter,ECR,53,0.053
138,voter,EPP,122,0.122
138,voter,GREENS_EFA_RENEW,88,0.088
138,voter,GUE_NGL,32,0.032
138,voter,NI,23,0.023
138,voter,PFE_ESN,78,0.078
138,voter,SD,98,0.098
139,abstention,ABSTENTION,506,0.506
139,voter,ECR,53,0.053
139,voter,EPP,122,0.122
139,voter,GREENS_EFA_RENEW,88,0.088
139,voter,GUE_NGL,32,0.032
139,voter,NI,23,0.023
139,voter,PFE_ESN,78,0.078
139,voter,SD,98,0.098
140,abstention,ABSTENTION,506,0.506
140,voter,ECR,53,0.053
140,voter,EPP,122,0.122
140,voter,GREENS_EFA_RENEW,88,0.088
140,voter,GUE_NGL,32,0.032
140,voter,NI,23,0.023
140,voter,PFE_ESN,78,0.078
140,voter,SD,98,0.098
141,abstention,ABSTENTION,506,0.506
141,voter,ECR,53,0.053
141,voter,EPP,122,0.122
141,voter,GREENS_EFA_RENEW,88,0.088
141,voter,GUE_NGL,32,0.032
141,voter,NI,23,0.023
141,voter,PFE_ESN,78,0.078
141,voter,SD,98,0.098
142,abstention,ABSTENTION,506,0.506
142,voter,ECR,53,0.053
142,voter,EPP,122,0.122
142,voter,GREENS_EFA_RENEW,88,0.088
142,voter,GUE_NGL,32,0.032
142,voter,NI,23,0.023
142,voter,PFE_ESN,78,0.078
142,voter,SD,98,0.098
143,abstention,ABSTENTION,506,0.506
143,voter,ECR,53,0.053
143,voter,EPP,122,0.122
143,voter,GREENS_EFA_RENEW,88,0.088
143,voter,GUE_NGL,32,0.032
143,voter,NI,23,0.023
143,voter,PFE_ESN,78,0.078
143,voter,SD,98,0.098
144,abstention,ABSTENTION,506,0.506
144,voter,ECR,53,0.053
144,voter,EPP,122,0.122
144,voter,GREENS_EFA_RENEW,88,0.088
144,voter,GUE_NGL,32,0.032
144,voter,NI,23,0.023
144,voter,PFE_ESN,78,0.078
144,voter,SD,98,0.098
145,abstention,ABSTENTION,506,0.506
145,voter,ECR,53,0.053
145,voter,EPP,122,0.122
145,voter,GREENS_EFA_RENEW,88,0.088
145,voter,GUE_NGL,32,0.032
145,voter,NI,23,0.023
145,voter,PFE_ESN,78,0.078
145,voter,SD,98,0.098
146,abstention,ABSTENTION,506,0.506
146,voter,ECR,53,0.053
146,voter,EPP,122,0.122
146,voter,GREENS_EFA_RENEW,88,0.088
146,voter,GUE_NGL,32,0.032
146,voter,NI,23,0.023
146,voter,PFE_ESN,78,0.078
146,voter,SD,98,0.098
147,abstention,ABSTENTION,506,0.506
147,voter,ECR,53,0.053
147,voter,EPP,122,0.122
147,voter,GREENS_EFA_RENEW,88,0.088
147,voter,GUE_NGL,32,0.032
147,voter,NI,23,0.023
147,voter,PFE_ESN,78,0.078
147,voter,SD,98,0.098
148,abstention,ABSTENTION,506,0.506
148,voter,ECR,53,0.053
148,voter,EPP,122,0.122
148,voter,GREENS_EFA_RENEW,88,0.088
148,voter,GUE_NGL,32,0.032
148,voter,NI,23,0.023
148,voter,PFE_ESN,78,0.078
148,voter,SD,98,0.098
149,abstention,ABSTENTION,506,0.506
149,voter,ECR,53,0.053
149,voter,EPP,122,0.122
149,voter,GREENS_EFA_RENEW,88,0.088
149,voter,GUE_NGL,32,0.032
149,voter,NI,23,0.023
149,voter,PFE_ESN,78,0.078
149,voter,SD,98,0.098
150,abstention,ABSTENTION,506,0.506
150,voter,ECR,53,0.053
150,voter,EPP,122,0.122
150,voter,GREENS_EFA_RENEW,88,0.088
150,voter,GUE_NGL,32,0.032
150,voter,NI,23,0.023
150,voter,PFE_ESN,78,0.078
150,voter,SD,98,0.098
151,abstention,ABSTENTION,506,0.506
151,voter,ECR,53,0.053
151,voter,EPP,122,0.122
151,voter,GREENS_EFA_RENEW,88,0.088
151,voter,GUE_NGL,32,0.032
151,voter,NI,23,0.023
151,voter,PFE_ESN,78,0.078
151,voter,SD,98,0.098
152,abstention,ABSTENTION,506,0.506
152,voter,ECR,53,0.053
152,voter,EPP,122,0.122
152,voter,GREENS_EFA_RENEW,88,0.088
152,voter,GUE_NGL,32,0.032
152,voter,NI,23,0.023
152,voter,PFE_ESN,78,0.078
152,voter,SD,98,0.098
153,abstention,ABSTENTION,506,0.506
153,voter,ECR,53,0.053
153,voter,EPP,122,0.122
153,voter,GREENS_EFA_RENEW,88,0.088
153,voter,GUE_NGL,32,0.032
153,voter,NI,23,0.023
153,voter,PFE_ESN,78,0.078
153,voter,SD,98,0.098
154,abstention,ABSTENTION,506,0.506
154,voter,ECR,53,0.053
154,voter,EPP,122,0.122
154,voter,GREENS_EFA_RENEW,88,0.088
154,voter,GUE_NGL,32,0.032
154,voter,NI,23,0.023
154,voter,PFE_ESN,78,0.078
154,voter,SD,98,0.098
155,abstention,ABSTENTION,506,0.506
155,voter,ECR,53,0.053
155,voter,EPP,122,0.122
155,voter,GREENS_EFA_RENEW,88,0.088
155,voter,GUE_NGL,32,0.032
155,voter,NI,23,0.023
155,voter,PFE_ESN,78,0.078
155,voter,SD,98,0.098
156,abstention,ABSTENTION,506,0.506
156,voter,ECR,53,0.053
156,voter,EPP,122,0.122
