analysis_sample,matrix_name,matrix,h,p,coverage_kmeans,coverage_efa,mean_signature_size_kmeans,mean_signature_size_efa,mean_km_efa_overlap,median_km_efa_overlap,mean_km_efa_jaccard,median_km_efa_jaccard,mean_km_expert_jaccard_hungarian,mean_km_expert_best_jaccard,mean_efa_expert_jaccard_hungarian,mean_efa_expert_best_jaccard,n_km_efa_overlap_ge_50,n_km_expert_jaccard_ge_50,n_efa_expert_jaccard_ge_50
DIEGO,matrix_32_z_abs,Z_ABS,5,4,1.0698809523806767,0.7061309523808478,10,11.25,42.50992063492063,46.52777777777778,24.176249447147278,22.600619195046438,24.734848484848484,25.303030303030305,24.21833466241361,24.90755772005772,2,0,0
DIEGO,matrix_32_z_abs,Z_ABS,5,5,1.3771130952377404,0.8778869047617747,9.8,10.8,50.476190476190474,50,30.44000933706816,27.77777777777778,24.40909090909091,25.6969696969697,24.374667729930888,24.926046176046174,3,0,0
DIEGO,matrix_32_z_abs,Z_ABS,5,6,1.6017261904757782,1.029791666666514,10.166666666666666,10.833333333333334,49.007936507936506,45.83333333333333,30.11204481792717,28.125,25.549242424242426,26.96969696969697,23.88365167970431,26.654058087881616,3,0,0
DIEGO,matrix_32_z_abs,Z_ABS,5,7,1.7736011904757338,1.232678571428389,9.857142857142858,10.571428571428571,45.578231292517,41.666666666666664,27.647058823529413,25,27.613636363636363,28.83116883116883,22.691089194848594,26.207680041713655,3,0,0
DIEGO,matrix_32_z_abs,Z_ABS,5,8,2.0874702380947,1.4177380952378853,9.75,10.25,46.676587301587304,46.42857142857143,29.286697725648963,29.6218487394958,25.298295454545453,28.168449197860962,19.87364243943191,23.973386703166117,4,0,0
DIEGO,matrix_32_z_abs,Z_ABS,6,4,2.078124999999463,1.1760416666664912,10,11.25,42.50992063492063,46.52777777777778,24.176249447147278,22.600619195046438,24.734848484848484,25.303030303030305,24.21833466241361,24.90755772005772,2,0,0
DIEGO,matrix_32_z_abs,Z_ABS,6,5,2.609434523808849,1.4465476190474036,9.8,10.8,50.476190476190474,50,30.44000933706816,27.77777777777778,24.40909090909091,25.6969696969697,24.374667729930888,24.926046176046174,3,0,0
DIEGO,matrix_32_z_abs,Z_ABS,6,6,3.0413392857134993,1.626220238094996,10.166666666666666,10.833333333333334,49.007936507936506,45.83333333333333,30.11204481792717,28.125,25.549242424242426,26.96969696969697,23.88365167970431,26.654058087881616,3,0,0
DIEGO,matrix_32_z_abs,Z_ABS,6,7,3.319285714284856,1.9459821428568531,10,10.571428571428571,45.18140589569161,41.666666666666664,27.511004401760704,25,27.094155844155846,28.611388611388612,22.691089194848594,26.207680041713655,3,0,0
DIEGO,matrix_32_z_abs,Z_ABS,6,8,3.9698511904751648,2.389970238094882,9.875,10.25,46.329365079365076,46.42857142857143,29.167650106601346,29.6218487394958,24.84375,27.976141505553272,19.87364243943191,23.973386703166117,4,0,0
